,,,Passing,,,,Rushing,,,,Receiving,,,,Kick Ret,,Punt Ret,
Name,Team,Pos,YDS,TD,INT,YPA,ATT,YDS,AVG,TD,REC,YDS,AVG,TD,YDS,TD,YDS,TD
Easton Stick,FA,QB,207,1,1,6.7,3,13,4.3,0,0,0,0.0,0,0,0,0,0
Jarrett Stidham,DEN,QB,807,5,3,6.7,8,34,4.3,1,0,0,0.0,0,0,0,0,0
Jack Stoll,FA,TE,0,0,0,0.0,0,0,0.0,0,9,95,10.6,1,0,0,0,0
Cade Stover,FA,TE,0,0,0,0.0,0,0,0.0,0,23,245,10.7,2,0,0,0,0
Brenton Strange,JAX,TE,0,0,0,0.0,0,0,0.0,0,13,131,10.1,1,0,0,0,0
Pierre Strong,CLE,RB,0,0,0,0.0,31,130,4.2,1,6,45,7.5,0,0,0,0,0
C.J. Stroud,HOU,QB,4403,35,11,7.7,46,193,4.2,3,0,0,0.0,0,0,0,0,0
Ryan Succop,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Courtland Sutton,DEN,WR,0,0,0,0.0,1,5,5.0,0,58,782,13.5,5,0,0,0,0
D'Andre Swift,CHI,RB,0,0,0,0.0,155,652,4.2,4,32,238,7.4,2,0,0,0,0
Tua Tagovailoa,MIA,QB,4246,31,12,8.1,33,73,2.2,1,0,0,0.0,0,0,0,0,0
Taulia Tagovailoa,FA,QB,100,1,0,6.7,2,7,3.5,0,0,0,0.0,0,0,0,0,0
Ryan Tannehill,FA,QB,432,3,1,7.1,7,29,4.1,0,0,0,0.0,0,0,0,0,0
Tyrod Taylor,NYJ,QB,205,1,1,7.1,5,21,4.2,0,0,0,0.0,0,0,0,0,0
Jonathan Taylor,IND,RB,0,0,0,0.0,266,1224,4.6,10,32,244,7.6,1,0,0,0,0
Patrick Taylor,FA,RB,0,0,0,0.0,16,67,4.2,0,2,15,7.5,0,0,0,0,0
Adam Thielen,CAR,WR,0,0,0,0.0,1,5,5.0,0,56,563,10.1,3,0,0,0,0
Michael Thomas,FA,WR,0,0,0,0.0,1,5,5.0,0,44,462,10.5,3,0,0,0,0
Logan Thomas,FA,TE,0,0,0,0.0,0,0,0.0,0,30,294,9.8,2,0,0,0,0
Ian Thomas,CAR,TE,0,0,0,0.0,0,0,0.0,0,6,66,11.0,0,0,0,0,0
Brian Thomas,FA,WR,0,0,0,0.0,2,14,7.0,0,59,762,12.9,5,0,0,0,0
Deven Thompkins,TB,WR,0,0,0,0.0,6,36,6.0,0,12,139,11.6,1,366,0,231,0
Skylar Thompson,MIA,QB,161,1,1,7.0,4,20,5.0,0,0,0,0.0,0,0,0,0,0
Dorian Thompson-Robinson,CLE,QB,87,0,0,6.7,3,13,4.3,0,0,0,0.0,0,0,0,0,0
Tyquan Thornton,NE,WR,0,0,0,0.0,2,10,5.0,0,12,156,13.0,1,0,0,0,0
Jamari Thrash,FA,WR,0,0,0,0.0,1,6,6.0,0,11,141,12.8,1,0,0,0,0
Cedric Tillman,CLE,WR,0,0,0,0.0,1,5,5.0,0,22,294,13.4,2,0,0,0,0
Jalen Tolbert,DAL,WR,0,0,0,0.0,1,5,5.0,0,31,358,11.5,2,0,0,0,0
Kadarius Toney,KC,WR,0,0,0,0.0,12,70,5.8,0,20,246,12.3,2,69,0,53,0
Robert Tonyan,FA,TE,0,0,0,0.0,0,0,0.0,0,15,153,10.2,1,0,0,0,0
Kyle Trask,TB,QB,211,1,1,6.8,3,10,3.3,0,0,0,0.0,0,0,0,0,0
Adam Trautman,DEN,TE,0,0,0,0.0,0,0,0.0,0,13,131,10.1,1,0,0,0,0
Jordan Travis,FA,QB,188,1,1,6.7,3,10,3.3,0,0,0,0.0,0,0,0,0,0
Tommy Tremble,CAR,TE,0,0,0,0.0,0,0,0.0,0,18,189,10.5,1,0,0,0,0
Mitchell Trubisky,BUF,QB,194,1,1,6.7,3,15,5.0,0,0,0,0.0,0,0,0,0,0
Justin Tucker,BAL,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Tre Tucker,LV,WR,0,0,0,0.0,7,43,6.1,0,36,392,10.9,3,0,0,0,0
Sean Tucker,TB,RB,0,0,0,0.0,28,118,4.2,1,3,23,7.7,0,0,0,0,0
Clayton Tune,ARI,QB,180,1,1,6.9,2,7,3.5,0,0,0,0.0,0,0,0,0,0
Cole Turner,WAS,TE,0,0,0,0.0,0,0,0.0,0,8,87,10.9,1,0,0,0,0
KaVontae Turpin,DAL,WR,0,0,0,0.0,9,56,6.2,0,11,124,11.3,1,321,0,222,0
C.J. Uzomah,FA,TE,0,0,0,0.0,0,0,0.0,0,6,58,9.7,0,0,0,0,0
Marquez Valdes-Scantling,FA,WR,0,0,0,0.0,1,5,5.0,0,22,332,15.1,2,0,0,0,0
