"Player","Team","23REC","23RecYDS","23RecTDS","23RushATT","23RushYDS","23RushTDS","FL","FPTS"
"Equanimeous St. Brown","CHI","5.2","71.4","0.2","1.1","6.6","0.0","0.0","14.2"
"Tre'Quan Smith","DET","5.7","63.6","0.4","0.0","0.0","0.0","0.0","14.2"
"Cam Sims","CAR","6.8","59.2","0.2","0.1","0.3","0.0","0.0","13.8"
"Maurice Alexander","DET","4.9","65.2","0.4","0.0","0.0","0.0","0.0","13.8"
"Dareke Young","SEA","5.2","63.1","0.3","0.2","0.8","0.0","0.1","13.2"
"Jalen Brooks","DAL","6.0","64.0","0.0","0.0","0.0","0.0","0.0","12.4"
"Tom Kennedy","DET","4.2","56.9","0.4","0.0","0.0","0.0","0.0","12.1"
"Gunner Olszewski","NYG","4.7","56.1","0.2","3.4","14.7","0.1","0.7","11.9"
"Miles Boykin","PIT","4.7","53.8","0.1","0.0","0.0","0.0","0.0","10.9"
"Dax Milne","WAS","3.4","55.4","0.1","2.8","10.0","0.1","0.4","10.4"
"Cody Thompson","SEA","3.9","46.3","0.3","0.0","0.0","0.0","0.0","10.1"
"Chris Conley","SF","3.0","69.0","0.0","0.0","0.0","0.0","0.0","9.9"
"Keelan Doss","LAC","6.0","33.0","0.0","0.0","0.0","0.0","0.0","9.3"
"Tyler Johnson","LAR","2.0","8.0","1.0","0.0","0.0","0.0","0.0","8.8"
"Britain Covey","PHI","4.0","43.6","0.0","0.3","1.0","0.0","0.0","8.5"
"Antoine Green","DET","3.4","36.2","0.2","0.0","0.0","0.0","0.0","8.4"
"Keelan Cole Sr.","LV","3.3","38.8","0.2","0.0","0.0","0.0","0.0","8.2"
"Cody White","SEA","3.3","38.4","0.2","0.0","0.0","0.0","0.0","8.1"
"Tylan Wallace","BAL","2.0","57.0","0.1","0.4","1.8","0.0","0.1","8.1"
"Daylen Baldwin","MIN","3.2","39.2","0.2","0.0","0.0","0.0","0.0","8.1"
"Alex Bachman","HOU","3.3","38.2","0.2","0.0","0.0","0.0","0.0","8.1"
"Denzel Mims","PIT","2.8","46.1","0.1","0.0","0.1","0.0","0.0","8.1"
"Michael Woods II","CLE","3.1","38.4","0.2","0.0","0.0","0.0","0.0","8.0"
"Simi Fehoko","LAC","1.0","9.0","1.0","0.0","0.0","0.0","0.0","7.9"
"Shi Smith","KC","2.4","46.4","0.1","0.1","0.2","0.0","0.1","7.6"
"Lance McCutcheon","NYJ","2.2","42.7","0.2","0.0","0.7","0.0","0.0","7.4"
"Freddie Swain","MIA","2.5","33.6","0.2","0.0","1.0","0.0","0.0","7.3"
"Elijah Cooks","JAC","3.0","38.0","0.0","0.0","0.0","0.0","0.0","6.8"
"Greg Ward","PHI","2.5","30.2","0.2","0.0","0.2","0.0","0.0","6.4"
"Steven Sims Jr.","HOU","3.0","29.4","0.0","0.9","4.1","0.0","0.1","6.3"
"Seth Williams","JAC","2.2","27.8","0.2","0.0","1.4","0.0","0.0","6.2"
"Danny Gray","SF","1.5","42.7","0.1","0.3","1.3","0.0","0.1","6.2"
"Mike Strachan","CAR","1.0","50.8","0.0","0.4","1.2","0.0","0.1","6.1"
"Joseph Ngata","PHI","1.9","35.1","0.1","0.2","1.3","0.0","0.0","5.9"
"Kristian Wilkerson","LV","2.1","24.4","0.2","0.0","0.7","0.0","0.0","5.7"
"Willie Snead IV","SF","2.0","33.1","0.0","0.1","0.1","0.0","0.0","5.3"
"Jalen Camp","CAR","0.9","26.3","0.1","0.0","6.7","0.0","0.0","5.1"
"Austin Trammell","LAR","4.0","29.0","0.0","0.0","0.0","0.0","1.0","4.9"
"Marquez Callaway","PIT","0.0","44.6","0.1","0.0","0.0","0.0","0.0","4.8"
"Trent Taylor","CHI","1.3","33.6","0.1","0.7","2.2","0.0","0.5","4.2"
"Josh Ali","ATL","1.6","18.3","0.1","0.0","0.1","0.0","0.0","4.1"
"Frank Darby","ATL","1.4","16.7","0.1","0.0","0.0","0.0","0.0","3.6"
"Dez Fitzpatrick","PIT","0.5","27.6","0.0","0.1","0.5","0.0","0.0","3.4"
"Malik Taylor","NYJ","2.0","13.0","0.0","0.0","0.0","0.0","0.0","3.3"
"Terrell Bynum","IND","1.4","13.8","0.1","0.0","0.6","0.0","0.0","3.2"
"Trishton Jackson","MIN","2.0","9.0","0.0","0.0","0.0","0.0","0.0","2.9"
"Austin Watkins Jr.","PHI","1.1","12.5","0.1","0.0","0.5","0.0","0.0","2.8"
"David Sills","DEN","0.1","23.6","0.0","0.3","1.0","0.0","0.0","2.6"
"Dylan Drummond","NYG","0.8","10.4","0.1","0.0","0.6","0.0","0.0","2.3"
"DJ Turner","LV","0.2","19.6","0.0","0.1","0.5","0.0","0.0","2.3"
"Collin Johnson","CHI","1.0","11.0","0.0","0.0","0.0","0.0","0.0","2.1"
"Racey McMath","DAL","0.7","9.4","0.1","0.0","1.2","0.0","0.0","2.1"
"Tay Martin","SF","0.8","8.4","0.1","0.0","0.4","0.0","0.0","2.1"
"Jordan Matthews","CAR","0.7","8.4","0.1","0.0","0.1","0.0","0.0","1.9"
"Ryan Miller","TB","0.7","7.9","0.0","0.0","0.5","0.0","0.0","1.8"
"Mason Kinsey","TEN","1.0","6.0","0.0","0.0","0.0","0.0","0.0","1.6"
"Colton Dowell","TEN","1.0","3.0","0.0","0.0","0.0","0.0","0.0","1.3"
"Kwamie Lassiter II","CIN","1.0","2.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Easop Winston Jr.","SEA","0.4","5.5","0.0","0.0","0.3","0.0","0.0","1.2"
"Ethan Fernea","IND","0.3","4.1","0.0","0.0","0.4","0.0","0.0","0.9"
"James Proche II","CLE","0.0","18.7","0.0","0.0","0.0","0.0","0.5","0.9"
"Lucky Jackson","MIN","0.3","3.4","0.0","0.0","0.4","0.0","0.0","0.7"
"Mitchell Tinsley","WAS","0.2","3.1","0.0","0.0","0.3","0.0","0.0","0.5"
"Stanley Morgan Jr.","CIN","0.1","2.4","0.0","0.0","0.1","0.0","0.0","0.4"
"Dan Chisena","ARI","0.1","2.8","0.0","0.0","0.2","0.0","0.0","0.4"
"D.J. Montgomery","IND","0.0","168.2","0.1","0.5","2.7","0.0","0.1","0.0"
"Justin Shorter","BUF","0.0","117.3","0.0","0.5","3.0","0.0","0.1","0.0"
"Dennis Houston","NYG","0.0","33.7","0.0","0.2","1.5","0.0","0.0","0.0"
"Tyrie Cleveland","IND","0.0","33.7","0.0","0.2","1.5","0.0","0.0","0.0"
"Montrell Washington","KC","0.0","113.9","0.0","0.8","4.9","0.0","0.1","0.0"
"Juwann Winfree","IND","0.0","56.5","0.0","0.4","2.4","0.0","0.1","0.0"
"Kendric Pryor","CIN","0.0","34.9","0.0","0.1","0.9","0.0","0.0","0.0"
"Anthony Schwartz","MIA","0.0","27.5","0.0","1.2","11.8","0.1","0.1","0.0"
""
""
