Player                   ,Pos ,Team ,week1Targets ,week2Targets ,week3Targts ,week4Targets ,week5Targets ,week6Targets ,week7Targets ,week8Targets ,week9Targets ,week10Targets ,week11Targets ,week12Targets ,week13Targets ,week14Targets ,week15Targets ,week16Targets ,week17Targets ,week18Targets ,TTL   ,AVG  ,player_gsis_id ,season_x ,season_type ,week_x                                                                   ,player_display_name      ,player_position ,team_abbr ,avg_cushion        ,avg_separation     ,avg_intended_air_yards ,percent_share_of_intended_air_yards ,receptions ,targets ,catch_percentage    ,yards  ,rec_touchdowns ,avg_yac             ,avg_expected_yac    ,avg_yac_above_expectation ,player_first_name      ,player_last_name ,player_jersey_number ,player_short_name  ,parsed_weeks                                             ,season_y ,club_code ,week_y ,game_type ,depth_team ,last_name ,first_name ,football_name ,formation ,gsis_id ,jersey_number ,position ,elias_id ,depth_position ,full_name ,catch_rate          ,player_gsis_id_qb ,season ,season_type_qb ,player_display_name_qb ,player_position_qb ,team_abbr_qb ,avg_time_to_throw ,avg_completed_air_yards ,avg_intended_air_yards_qb ,avg_air_yards_differential ,aggressiveness ,max_completed_air_distance ,avg_air_yards_to_sticks ,attempts ,pass_yards ,pass_touchdowns ,interceptions ,passer_rating ,completions ,completion_percentage ,expected_completion_percentage ,completion_percentage_above_expectation ,avg_air_distance ,max_air_distance ,player_first_name_qb ,player_last_name_qb ,player_jersey_number_qb ,player_short_name_qb ,week ,parsed_weeks_qb
Evan Engram              ,TE  ,JAC  ,         5.0 ,         8.0 ,        8.0 ,         8.0 ,         8.0 ,         7.0 ,         7.0 ,        10.0 ,         0.0 ,          7.0 ,          6.0 ,          8.0 ,          9.0 ,         12.0 ,          6.0 ,         15.0 ,          6.0 ,         13.0 ,143.0 , 8.4 ,00-0033881     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18"          ,Evan Engram              ,TE              ,JAX       ,6.280603655603656  ,3.3576647933438135 ,    4.686472857389524  ,                13.719007749940378  ,       228 ,    286 , 79.96563621563621  ,1926.0 ,             8 , 4.7712082331248995 , 4.340201639878184  ,0.4310065932467161        ,Evan                   ,Engram           ,                  17 ,E.Engram           ,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 79.72027972027972  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Chris Olave              ,WR  ,NO   ,        10.0 ,        11.0 ,       11.0 ,         6.0 ,         5.0 ,        10.0 ,        15.0 ,         9.0 ,         8.0 ,          9.0 ,          0.0 ,          9.0 ,          8.0 ,          5.0 ,          0.0 ,         13.0 ,          6.0 ,          3.0 ,138.0 , 8.6 ,00-0037239     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17"                   ,Chris Olave              ,WR              ,NO        ,6.174034307464177  ,2.9206101568594462 ,   13.77518922872116   ,                40.13890102430368   ,       171 ,    273 , 61.27376925610621  ,2190.0 ,             9 , 3.950528735632183  , 4.323574939109474  ,-0.3730462034772906       ,Chris                  ,Olave            ,                  12 ,C.Olave            ,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 62.637362637362635 ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Adam Thielen             ,WR  ,CAR  ,         2.0 ,         9.0 ,       14.0 ,         8.0 ,        13.0 ,        13.0 ,         0.0 ,        11.0 ,         6.0 ,         10.0 ,         11.0 ,          3.0 ,          6.0 ,          7.0 ,          7.0 ,          8.0 ,          6.0 ,          3.0 ,137.0 , 8.1 ,00-0030035     ,    2023 ,REG         ,"0, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17"                     ,Adam Thielen             ,WR              ,CAR       ,6.301934185056137  ,3.015319018732098  ,    7.7106389391765315 ,                28.742955864689105  ,       201 ,    266 , 75.37478431274052  ,2002.0 ,             8 , 3.414780634360246  , 4.360146096241853  ,-0.945365461881608        ,Adam                   ,Thielen          ,                  19 ,A.Thielen          ,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 75.56390977443608  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
DeAndre Hopkins          ,WR  ,TEN  ,        13.0 ,         5.0 ,        7.0 ,         6.0 ,        11.0 ,         5.0 ,         0.0 ,         6.0 ,        11.0 ,          9.0 ,          5.0 ,          5.0 ,         12.0 ,         12.0 ,          9.0 ,          4.0 ,          7.0 ,         10.0 ,137.0 , 8.1 ,00-0030564     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18"              ,DeAndre Hopkins          ,WR              ,TEN       ,5.731997979344409  ,2.284796855543889  ,   14.258992090515276  ,                43.12628677282212   ,       148 ,    270 , 56.43691883709058  ,2094.0 ,            14 , 3.568876050420168  , 3.5636854794919435 ,0.0051905709282243        ,DeAndre                ,Hopkins          ,                  10 ,D.Hopkins          ,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 54.81481481481482  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Mike Evans               ,WR  ,TB   ,        10.0 ,         8.0 ,       10.0 ,         3.0 ,         0.0 ,        10.0 ,         8.0 ,         6.0 ,         5.0 ,         10.0 ,         12.0 ,          9.0 ,         12.0 ,          6.0 ,          6.0 ,          9.0 ,          4.0 ,          8.0 ,136.0 , 8.0 ,00-0031408     ,    2023 ,REG         ,"0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20"         ,Mike Evans               ,WR              ,TB        ,6.2565852594449085 ,2.4294500457391432 ,   14.419243827160493  ,                43.90571558242935   ,       163 ,    284 , 56.82721236642805  ,2595.0 ,            27 , 3.992641484160472  , 3.562985531089422  ,0.4296559530710495        ,Mike                   ,Evans            ,                  13 ,M.Evans            ,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 57.3943661971831   ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Calvin Ridley            ,WR  ,JAC  ,        11.0 ,         8.0 ,        7.0 ,         2.0 ,         8.0 ,         8.0 ,         4.0 ,        10.0 ,         0.0 ,          3.0 ,          9.0 ,          6.0 ,          8.0 ,         13.0 ,         12.0 ,          9.0 ,          8.0 ,         10.0 ,136.0 , 8.0 ,00-0034837     ,    2023 ,REG         ,"0, 1, 2, 3, 5, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18"                    ,Calvin Ridley            ,WR              ,JAX       ,5.546117015083682  ,2.3131287633510738 ,   13.784071286230107  ,                41.328059809208874  ,       147 ,    263 , 56.94536291595115  ,1969.0 ,            15 , 2.6353936090225565 , 3.166526594232887  ,-0.5311329852103313       ,Calvin                 ,Ridley           ,                   0 ,C.Ridley           ,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 55.893536121673    ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Terry McLaurin           ,WR  ,WAS  ,         4.0 ,         6.0 ,        6.0 ,        10.0 ,         5.0 ,        11.0 ,         9.0 ,        12.0 ,         8.0 ,          8.0 ,          7.0 ,         11.0 ,          3.0 ,          0.0 ,         12.0 ,          5.0 ,          7.0 ,          8.0 ,132.0 , 7.8 ,00-0035659     ,    2023 ,REG         ,"0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18"                  ,Terry McLaurin           ,WR              ,WAS       ,5.8479079997812775 ,2.735681533693868  ,   10.921958310786437  ,                35.825727619077206  ,       156 ,    257 , 64.28097943722943  ,1973.0 ,             8 , 4.7196554588607595 , 4.094865496529438  ,0.6247899623313214        ,Terry                  ,McLaurin         ,                  17 ,T.McLaurin         ,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 60.70038910505836  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Chris Godwin             ,WR  ,TB   ,         6.0 ,         8.0 ,        5.0 ,        11.0 ,         0.0 ,         7.0 ,        12.0 ,         7.0 ,         6.0 ,          6.0 ,          7.0 ,          7.0 ,          3.0 ,         11.0 ,         12.0 ,         10.0 ,          5.0 ,          7.0 ,130.0 , 7.6 ,00-0033921     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20"      ,Chris Godwin             ,WR              ,TB        ,6.943133824954108  ,2.9243659495119396 ,    9.447847950295316  ,                26.81293898857385   ,       174 ,    270 , 65.40122158543211  ,2133.0 ,             5 , 4.6831365461847385 , 4.0964118991359575 ,0.5867246470487817        ,Rod                    ,Godwin           ,                  14 ,C.Godwin           ,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 64.44444444444444  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
Amari Cooper             ,WR  ,CLE  ,         7.0 ,        10.0 ,        8.0 ,         6.0 ,         0.0 ,         8.0 ,         8.0 ,        11.0 ,         5.0 ,          9.0 ,          8.0 ,          6.0 ,          5.0 ,         14.0 ,          8.0 ,         15.0 ,          0.0 ,          0.0 ,128.0 , 8.5 ,00-0031544     ,    2023 ,REG         ,"0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19"              ,Amari Cooper             ,WR              ,CLE       ,5.614385358040653  ,2.2244300045595304 ,   13.94566292786054   ,                38.83443357068284   ,       148 ,    261 , 56.83250572956455  ,2559.0 ,            10 , 3.664044308632545  , 2.4229180651739854 ,1.241126243458559         ,Amari                  ,Cooper           ,                   2 ,A.Cooper           ,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 56.70498084291188  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
T.J. Hockenson           ,TE  ,MIN  ,         9.0 ,         8.0 ,       11.0 ,         3.0 ,         8.0 ,         8.0 ,        12.0 ,         9.0 ,        12.0 ,         15.0 ,          7.0 ,          6.0 ,          0.0 ,          8.0 ,          7.0 ,          4.0 ,          0.0 ,          0.0 ,127.0 , 8.5 ,00-0035229     ,    2023 ,REG         ,"0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15"                          ,T.J. Hockenson           ,TE              ,MIN       ,6.0343267700284    ,2.958285672196656  ,    7.431725799088426  ,                26.381937765341508  ,       184 ,    247 , 74.29355624378123  ,1838.0 ,            10 , 3.5040888829215895 , 3.460733149575302  ,0.0433557333462868        ,Thomas                 ,Hockenson        ,                  87 ,T.Hockenson        ,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0]" ,         ,          ,       ,          ,           ,          ,           ,              ,          ,        ,              ,         ,         ,               ,          , 74.49392712550608  ,                  ,       ,               ,                       ,                   ,             ,                  ,                        ,                          ,                           ,               ,                           ,                        ,         ,           ,                ,              ,              ,            ,                      ,                               ,                                        ,                 ,                 ,                     ,                    ,                        ,                     ,     ,
