"Rank","Player","REC","TGT","RecYDS","Y/R","LG","20+","RecTD","ATT","RushYDS","RushTD","FL","G","FPTS","FPTS/G","ROST"
"21","DK Metcalf (SEA)","66","119","1,114","16.9","73","37","8","0","0","0","0","16","225.4","14.1","98.4%"
"22","DeAndre Hopkins (TEN)","75","137","1,057","14.1","61","27","7","2","9","0","0","17","223.6","13.2","94.8%"
"23","Jordan Addison (MIN)","70","108","911","13.0","62","26","10","1","2","0","0","17","221.3","13.0","88.8%"
"24","Jakobi Meyers (LV)","71","106","807","11.4","33","10","8","4","24","2","0","16","218.6","13.7","79.1%"
"25","Jayden Reed (GB)","64","94","793","12.4","59","27","8","11","119","2","0","16","217.2","13.6","67.2%"
"26","Garrett Wilson (NYJ)","95","168","1,042","11.0","68","21","3","4","0","0","2","17","213.2","12.5","96.6%"
"27","Rashee Rice (KC)","79","102","938","11.9","67","16","7","1","-3","0","1","16","212.5","13.3","86.7%"
"28","Chris Godwin (TB)","83","130","1,024","12.3","47","22","2","4","38","1","0","17","209.2","12.3","91.6%"
"29","George Pickens (PIT)","63","106","1,140","18.1","86","42","5","3","18","0","0","17","208.8","12.3","83.7%"
"30","Zay Flowers (BAL)","77","108","858","11.1","75","23","5","8","56","1","0","16","206.4","12.9","87.1%"
"31","Terry McLaurin (WAS)","79","132","1,002","12.7","48","23","4","0","0","0","0","17","203.2","12.0","90.9%"
"32","Tyler Lockett (SEA)","79","122","894","11.3","37","13","5","0","0","0","0","17","202.4","11.9","91.5%"
"33","Justin Jefferson (MIN)","68","100","1,074","15.8","52","35","5","1","-12","0","1","10","202.2","20.2","100.0%"
"34","Jaylen Waddle (MIA)","72","104","1,014","14.1","60","22","4","3","12","0","0","14","198.6","14.2","96.0%"
"35","Courtland Sutton (DEN)","59","90","772","13.1","46","23","10","0","0","0","3","16","190.2","11.9","82.8%"
"36","Drake London (ATL)","69","110","905","13.1","45","21","2","0","0","0","0","16","174.4","10.9","82.6%"
"37","Romeo Doubs (GB)","59","96","674","11.4","36","10","8","0","0","0","0","17","174.4","10.3","50.9%"
"38","Brandin Cooks (DAL)","54","81","657","12.2","37","16","8","5","35","0","0","16","173.2","10.8","69.6%"
"39","Tank Dell (HOU)","47","75","709","15.1","68","17","7","11","51","0","0","11","165.0","15.0","32.5%"
"40","Cooper Kupp (LAR)","59","95","737","12.5","62","20","5","1","-3","0","0","12","164.4","13.7","97.9%"
"41","Gabe Davis (JAC)","45","81","746","16.6","57","21","7","1","-2","0","1","17","161.4","9.5","77.2%"
"42","Curtis Samuel (WAS)","62","91","613","9.9","37","11","4","7","39","1","0","16","157.2","9.8","41.5%"
"43","Josh Downs (IND)","68","98","771","11.3","59","19","2","0","0","0","0","17","157.1","9.2","44.2%"
"44","Rashid Shaheed (NO)","46","75","719","15.6","58","31","5","7","37","0","1","16","155.6","9.7","44.9%"
"45","Diontae Johnson (CAR)","51","87","717","14.1","71","18","5","0","0","0","0","13","152.7","11.7","80.2%"
"46","Darius Slayton (NYG)","50","79","770","15.4","80","22","4","0","0","0","0","17","151.0","8.9","4.5%"
"47","Christian Kirk (JAC)","57","85","787","13.8","57","23","3","1","6","0","2","12","150.3","12.5","60.8%"
"48","Jaxon Smith-Njigba (SEA)","63","93","628","10.0","35","10","4","0","0","0","0","17","149.8","8.8","65.9%"
"49","Tyler Boyd (CIN)","67","98","667","10.0","64","12","2","2","11","0","0","17","145.8","8.6","48.8%"
"50","Jerry Jeudy (CLE)","54","87","758","14.0","47","21","2","0","0","0","0","16","141.8","8.9","60.1%"
"51","Tee Higgins (CIN)","42","76","656","15.6","80","14","5","0","0","0","0","12","137.6","11.5","92.9%"
"52","Marquise Brown (ARI)","51","101","574","11.3","41","11","4","2","23","0","0","14","134.7","9.6","72.3%"
"53","Wan'Dale Robinson (NYG)","60","78","525","8.8","33","9","1","9","87","1","0","15","133.2","8.9","10.9%"
"54","Elijah Moore (CLE)","59","104","640","10.8","42","13","2","9","11","0","2","17","132.1","7.8","40.0%"
"55","Josh Reynolds (DET)","40","64","608","15.2","33","18","5","0","0","0","1","17","128.8","7.6","10.5%"
"56","Jahan Dotson (WAS)","49","83","518","10.6","33","6","4","0","0","0","0","17","124.8","7.3","53.4%"
"57","K.J. Osborn (MIN)","48","75","540","11.3","47","10","3","0","0","0","0","16","120.0","7.5","27.0%"
"58","Dontayvion Wicks (GB)","39","58","581","14.9","35","14","4","1","1","0","1","15","119.8","8.0","7.1%"
"59","DJ Chark Jr. (CAR)","35","66","525","15.0","47","14","5","0","0","0","1","15","115.5","7.7","17.3%"
"60","Michael Wilson (ARI)","38","58","565","14.9","69","11","3","0","0","0","0","13","114.5","8.8","5.0%"
"61","Khalil Shakir (BUF)","39","45","611","15.7","81","17","2","1","10","0","0","17","113.1","6.7","6.9%"
"62","Tutu Atwell (LAR)","39","67","483","12.4","44","15","3","5","31","0","0","16","112.4","7.0","17.0%"
"63","Odell Beckham Jr. (FA)","35","64","565","16.1","51","19","3","0","0","0","1","14","107.5","7.7","59.0%"
"64","Demario Douglas (NE)","49","79","561","11.4","42","11","0","8","41","0","1","14","107.2","7.7","26.9%"
"65","Joshua Palmer (LAC)","38","61","581","15.3","79","19","2","1","6","0","1","11","106.7","9.7","29.1%"
"66","Rondale Moore (ATL)","40","62","352","8.8","48","7","1","28","178","1","0","17","105.0","6.2","19.0%"
"67","Noah Brown (HOU)","33","55","567","17.2","75","22","2","1","-1","0","0","10","101.6","10.2","43.0%"
"68","Christian Watson (GB)","28","53","422","15.1","77","12","5","4","11","0","0","9","101.3","11.3","70.7%"
"69","Kendrick Bourne (NE)","37","55","406","11.0","36","7","4","1","4","0","1","8","100.0","12.5","4.6%"
"70","Kalif Raymond (DET)","35","44","489","14.0","41","14","1","7","75","0","0","17","97.4","5.7","1.3%"
"71","Nelson Agholor (BAL)","35","45","381","10.9","37","6","4","0","0","0","0","17","97.1","5.7","0.8%"
"72","Trey Palmer (TB)","39","68","385","9.9","54","9","3","3","22","0","1","17","95.7","5.6","1.6%"
"73","Alec Pierce (IND)","32","65","514","16.1","58","17","2","0","0","0","0","17","95.4","5.6","3.3%"
"74","Quentin Johnston (LAC)","38","67","431","11.3","57","8","2","3","9","0","0","17","94.0","5.5","26.0%"
"75","Michael Thomas (NO)","39","64","448","11.5","31","5","1","0","0","0","0","10","89.8","9.0","36.1%"
"76","Robert Woods (HOU)","40","75","426","10.7","26","2","1","1","7","0","0","14","89.3","6.4","6.5%"
"77","Justin Watson (KC)","27","53","460","17.0","41","14","3","0","0","0","1","16","89.0","5.6","2.4%"
"78","Michael Gallup (DAL)","34","57","418","12.3","41","9","2","0","0","0","0","17","87.8","5.2","19.1%"
"79","Demarcus Robinson (LAR)","26","39","371","14.3","37","10","4","1","23","0","1","13","87.4","6.7","20.2%"
"80","Nick Westbrook-Ikhine (TEN)","28","45","370","13.2","33","10","3","0","0","0","0","14","85.0","6.1","0.4%"
"81","Jonathan Mingo (CAR)","43","85","418","9.7","40","9","0","0","0","0","0","15","84.8","5.7","12.6%"
"82","Jameson Williams (DET)","24","42","354","14.8","63","12","2","3","29","1","0","12","80.3","6.7","17.1%"
"83","Darnell Mooney (ATL)","31","61","414","13.4","41","11","1","2","5","0","0","15","78.9","5.3","16.7%"
"84","Zay Jones (JAC)","34","64","321","9.4","36","4","2","0","0","0","0","9","78.1","8.7","25.8%"
"85","Rashod Bateman (BAL)","32","56","367","11.5","29","2","1","1","18","0","0","16","76.5","4.8","10.0%"
"86","Brandon Johnson (DEN)","19","30","284","14.9","50","10","4","0","0","0","0","13","73.4","5.6","1.2%"
"87","DeVante Parker (PHI)","33","55","394","11.9","30","7","0","0","0","0","0","13","72.4","5.6","3.2%"
"88","Tre Tucker (LV)","19","34","331","17.4","50","14","2","10","77","0","0","16","71.8","4.5","0.2%"
"89","Marvin Mims Jr. (DEN)","22","33","377","17.1","60","18","1","9","30","0","2","16","70.7","4.4","5.6%"
"90","Cedrick Wilson Jr. (MIA)","22","38","296","13.5","31","6","3","0","0","0","0","15","69.6","4.6","1.8%"
"91","Chris Moore (TEN)","22","35","424","19.3","49","17","0","2","39","0","0","17","68.3","4.0","0.1%"
"92","Brandon Powell (MIN)","29","44","324","11.2","28","6","1","5","17","0","1","17","67.1","3.9","1.2%"
"93","Greg Dortch (ARI)","24","41","280","11.7","38","6","2","1","5","0","0","16","64.5","4.0","6.2%"
"94","Trenton Irwin (CIN)","25","32","316","12.6","32","8","1","0","0","0","0","16","62.6","3.9","1.1%"
"95","Allen Robinson II (FA)","34","49","280","8.2","31","3","0","0","0","0","0","17","62.0","3.6","1.1%"
"96","JuJu Smith-Schuster (NE)","29","47","260","9.0","37","4","1","0","0","0","0","11","61.0","5.5","18.5%"
"97","A.T. Perry (NO)","12","18","246","20.5","44","9","4","0","0","0","0","10","60.6","6.1","0.8%"
"98","Jalin Hyatt (NYG)","23","40","373","16.2","58","16","0","0","0","0","0","17","60.3","3.5","4.1%"
"99","Allen Lazard (NYJ)","23","49","311","13.5","39","6","1","0","0","0","0","14","60.1","4.3","9.9%"
"100","Isaiah Hodgins (FA)","21","33","230","11.0","24","1","3","0","0","0","1","17","60.0","3.5","1.1%"
"101","KaVontae Turpin (DAL)","12","18","127","10.6","34","3","3","11","110","1","0","16","59.7","3.7","0.7%"
"102","Jalen Tolbert (DAL)","22","36","268","12.2","45","7","2","0","0","0","1","17","58.8","3.5","0.3%"
"103","Xavier Gipson (NYJ)","21","38","229","10.9","36","5","0","8","68","1","2","17","58.7","3.5","0.8%"
"104","Braxton Berrios (MIA)","27","33","238","8.8","22","1","1","1","11","0","0","16","57.9","3.6","1.6%"
"105","Jake Bobo (SEA)","19","25","196","10.3","31","4","2","1","3","1","0","17","56.9","3.3","0.3%"
"106","Marquez Valdes-Scantling (FA)","21","42","315","15.0","46","9","1","0","0","0","1","16","56.5","3.5","3.6%"
"107","Skyy Moore (KC)","21","38","244","11.6","54","6","1","3","23","0","0","14","53.7","3.8","17.7%"
"108","Kadarius Toney (KC)","27","38","169","6.3","18","0","1","11","31","0","0","13","53.0","4.1","11.3%"
"109","Calvin Austin III (PIT)","17","30","180","10.6","72","4","1","11","57","1","0","17","52.7","3.1","0.9%"
"110","Jauan Jennings (SF)","19","33","265","13.9","31","5","1","0","0","0","0","13","51.5","4.0","0.7%"
"111","Andrei Iosivas (CIN)","15","25","116","7.7","16","0","4","0","0","0","0","16","50.6","3.2","0.2%"
"112","Mike Williams (FA)","19","26","249","13.1","49","7","1","1","3","0","0","3","50.2","16.7","18.7%"
"113","David Bell (CLE)","14","23","167","11.9","41","6","3","0","0","0","0","15","48.7","3.2","0.1%"
"114","Hunter Renfrow (FA)","25","37","255","10.2","38","5","0","0","0","0","1","17","48.5","2.9","2.3%"
"115","Lil'Jordan Humphrey (DEN)","13","19","162","12.5","54","4","3","0","0","0","0","17","47.2","2.8","0.1%"
"116","Bo Melton (GB)","16","24","218","13.6","37","4","1","3","21","0","0","4","45.9","11.5","0.4%"
"117","Alex Erickson (LAC)","16","29","232","14.5","27","4","1","0","0","0","0","8","45.2","5.7","0.1%"
"118","Cedric Tillman (CLE)","21","44","224","10.7","23","1","0","1","8","0","0","14","44.2","3.2","0.9%"
"119","Mack Hollins (BUF)","18","30","251","13.9","45","5","0","0","0","0","0","13","43.1","3.3","0.4%"
"120","Van Jefferson (ATL)","20","43","209","10.5","46","3","0","1","4","0","0","17","41.3","2.4","2.3%"
"121","Jamal Agnew (JAC)","14","21","225","16.1","65","7","1","4","-2","0","1","11","40.3","3.7","0.8%"
"122","Deonte Harty (FA)","15","21","150","10.0","43","4","1","4","0","0","1","16","40.0","2.5","0.3%"
"123","Treylon Burks (TEN)","16","30","221","13.8","70","8","0","5","18","0","0","11","39.9","3.6","17.8%"
"124","Parker Washington (JAC)","16","21","132","8.3","19","0","2","0","0","0","1","9","39.2","4.4","3.7%"
"125","Scott Miller (ATL)","11","16","161","14.6","56","7","2","0","0","0","0","17","39.1","2.3","0.0%"
"126","Olamide Zaccheaus (PHI)","10","20","164","16.4","34","5","2","0","0","0","0","17","38.4","2.3","0.2%"
"127","KhaDarel Hodge (ATL)","14","23","232","16.6","52","7","0","1","0","0","0","17","37.2","2.2","0.0%"
"128","Julio Jones (PHI)","11","19","74","6.7","22","1","3","0","0","0","0","11","36.4","3.3","1.4%"
"129","Jamison Crowder (WAS)","16","20","159","9.9","26","1","1","0","0","0","1","17","35.9","2.1","0.1%"
"130","Tyler Scott (CHI)","17","32","168","9.9","30","2","0","7","41","0","1","17","35.9","2.1","0.1%"
"131","Derius Davis (LAC)","15","17","66","4.4","18","0","0","14","101","0","1","17","35.7","2.1","0.2%"
"132","Quez Watkins (PHI)","15","21","142","9.5","19","0","1","0","0","0","0","9","35.2","3.9","0.3%"
"133","Dyami Brown (WAS)","12","23","168","14.0","35","4","1","1","0","0","0","17","35.0","2.1","0.1%"
"134","Deven Thompkins (TB)","17","25","83","4.9","26","1","1","8","56","0","1","17","34.9","2.1","0.2%"
"135","Malik Heath (GB)","15","24","125","8.3","16","0","1","0","0","0","0","13","33.5","2.6","0.1%"
"136","Terrace Marshall Jr. (CAR)","19","33","139","7.3","14","0","0","0","0","0","0","9","32.9","3.7","0.3%"
"137","Ihmir Smith-Marsette (CAR)","8","10","51","6.4","18","0","0","8","74","1","0","17","32.5","1.9","0.1%"
"138","John Metchie III (HOU)","16","30","158","9.9","22","1","0","1","4","0","0","16","32.2","2.0","0.9%"
"139","Kyle Philips (TEN)","15","22","181","12.1","29","4","0","0","0","0","1","9","31.1","3.5","0.1%"
"140","Ronnie Bell (SF)","6","13","68","11.3","20","1","3","0","0","0","0","16","30.8","1.9","0.2%"
"141","Parris Campbell (NYG)","20","27","104","5.2","17","0","0","0","0","0","0","12","30.4","2.5","2.3%"
"142","Jalen Reagor (NE)","7","23","138","19.7","39","5","0","1","17","0","0","11","28.5","2.6","0.1%"
"143","Donovan Peoples-Jones (DET)","13","25","155","11.9","29","2","0","0","0","0","0","15","28.5","1.9","2.2%"
"144","Ray-Ray McCloud III (SF)","12","15","135","11.3","41","4","0","3","30","0","0","12","28.5","2.4","0.6%"
"145","Byron Pringle (WAS)","14","22","161","11.5","26","1","0","0","0","0","1","16","28.1","1.8","0.1%"
"146","Tyquan Thornton (NE)","13","23","91","7.0","15","0","0","3","51","0","0","9","27.2","3.0","1.1%"
"147","River Cracraft (MIA)","9","12","121","13.4","24","2","1","0","0","0","0","10","27.1","2.7","0.1%"
"148","Mecole Hardman Jr. (KC)","15","24","124","8.3","37","2","0","1","3","0","1","10","25.7","2.6","1.6%"
"149","Trent Sherfield (BUF)","11","22","86","7.8","12","0","1","0","0","0","0","17","25.6","1.5","0.1%"
"150","Jalen Guyton (LAC)","10","21","89","8.9","18","0","1","0","0","0","0","8","24.9","3.1","1.9%"
"151","Robbie Chosen (MIA)","4","6","126","31.5","68","6","1","0","0","0","0","9","22.6","2.5","0.1%"
"152","Lynn Bowden Jr. (NO)","11","16","83","7.5","17","0","0","5","32","0","0","15","22.5","1.5","0.1%"
"153","Xavier Hutchinson (HOU)","8","19","90","11.3","34","2","0","5","49","0","0","15","21.9","1.5","0.2%"
"154","Chase Claypool (MIA)","8","21","77","9.6","20","1","1","0","0","0","0","11","21.7","2.0","2.3%"
"155","Laviska Shenault Jr. (CAR)","10","10","60","6.0","14","0","0","12","55","0","0","8","21.5","2.7","0.1%"
"156","Ben Skowronek (LAR)","8","12","66","8.3","20","1","1","2","9","0","0","17","21.5","1.3","0.1%"
"157","Charlie Jones (CIN)","7","9","64","9.1","35","2","0","2","13","0","0","11","20.7","1.9","0.1%"
"158","David Moore (TB)","5","7","94","18.8","52","4","1","0","0","0","0","7","20.4","2.9","0.0%"
"159","Sterling Shepard (NYG)","10","22","57","5.7","13","0","1","1","6","0","1","15","20.3","1.4","0.2%"
"160","Richie James Jr. (KC)","10","14","114","11.4","45","3","0","0","0","0","1","9","19.4","2.2","0.2%"
"161","Tim Jones (JAC)","11","18","83","7.5","15","0","0","0","0","0","0","17","19.3","1.1","0.0%"
"162","Randall Cobb (NYJ)","5","17","39","7.8","15","0","1","0","0","0","0","11","16.9","1.5","0.3%"
"163","Jason Brownlee (NYJ)","5","8","56","11.2","24","1","1","0","0","0","0","7","16.6","2.4","0.1%"
"164","Isaiah McKenzie (NYG)","11","14","82","7.5","30","2","0","3","14","0","2","13","16.6","1.3","0.1%"
"165","Samori Toure (GB)","8","18","78","9.8","35","2","0","0","0","0","1","11","15.8","1.4","0.1%"
"166","Keith Kirkwood (NO)","5","9","37","7.4","13","0","1","0","0","0","0","13","14.7","1.1","0.0%"
"167","D.J. Montgomery (IND)","3","8","56","18.7","34","2","1","0","0","0","0","7","14.6","2.1","0.1%"
"168","Marquise Goodwin (CLE)","4","13","67","16.8","57","4","0","4","33","0","0","12","14.0","1.2","0.1%"
"169","Lawrence Cager (NYG)","4","5","36","9.0","10","0","1","0","0","0","0","9","13.6","1.5","0.0%"
"170","Jalen Brooks (DAL)","6","6","64","10.7","24","1","0","0","0","0","0","7","12.4","1.8","0.0%"
"171","Justyn Ross (KC)","6","11","53","8.8","20","1","0","0","0","0","0","10","11.3","1.1","0.4%"
"172","Equanimeous St. Brown (CHI)","5","6","62","12.4","21","1","0","0","0","0","0","7","11.2","1.6","0.1%"
"173","Velus Jones Jr. (CHI)","4","7","20","5.0","11","0","0","8","51","0","0","14","11.1","0.8","0.1%"
"174","Rakim Jarrett (TB)","4","9","60","15.0","41","3","0","1","0","0","0","10","10.0","1.0","0.0%"
"175","Chris Conley (SF)","3","6","69","23.0","48","3","0","0","0","0","0","8","9.9","1.2","0.0%"
"176","DeAndre Carter (LV)","4","7","39","9.8","16","0","0","3","18","0","0","17","9.7","0.6","0.1%"
"177","Keelan Doss (LAC)","6","13","33","5.5","9","0","0","0","0","0","0","5","9.3","1.9","0.0%"
"178","Tyler Johnson (LAR)","2","3","8","4.0","8","0","1","0","0","0","0","1","8.8","8.8","0.0%"
"179","Britain Covey (PHI)","4","6","42","10.5","22","1","0","0","0","0","0","16","8.2","0.5","0.1%"
"180","Tylan Wallace (BAL)","1","2","11","11.0","11","0","0","0","0","0","0","9","8.1","0.9","0.1%"
"181","Simi Fehoko (LAC)","1","2","9","9.0","9","0","1","0","0","0","0","5","7.9","1.6","0.0%"
"182","Devin Duvernay (JAC)","4","9","18","4.5","10","0","0","4","15","0","0","13","7.3","0.6","0.1%"
"183","Elijah Cooks (JAC)","3","4","38","12.7","23","1","0","0","0","0","0","9","6.8","0.8","0.0%"
"184","Marvin Jones Jr. (FA)","5","10","35","7.0","16","0","0","0","0","0","1","6","6.5","1.1","0.6%"
"185","Zach Pascal (ARI)","4","15","19","4.8","9","0","0","0","0","0","0","14","5.9","0.4","0.0%"
"186","Jalen Nailor (MIN)","3","6","29","9.7","16","0","0","0","0","0","0","6","5.9","1.0","0.0%"
"187","Steven Sims Jr. (HOU)","3","3","25","8.3","23","1","0","1","1","0","0","3","5.6","1.9","0.0%"
"188","Mike Strachan (CAR)","1","3","45","45.0","45","3","0","0","0","0","0","4","5.5","1.4","0.0%"
"189","Trishton Jackson (MIN)","2","4","9","4.5","7","0","0","0","0","0","0","6","4.9","0.8","0.0%"
"190","Austin Trammell (LAR)","4","7","29","7.3","14","0","0","0","0","0","1","15","4.9","0.3","0.1%"
"191","Miles Boykin (PIT)","3","4","17","5.7","6","0","0","0","0","0","0","16","4.7","0.3","0.0%"
"192","Kayshon Boutte (NE)","2","7","19","9.5","11","0","0","0","0","0","0","5","3.9","0.8","0.1%"
"193","Willie Snead IV (SF)","2","3","14","7.0","9","0","0","0","0","0","0","4","3.4","0.9","0.0%"
"194","Malik Taylor (NYJ)","2","4","13","6.5","7","0","0","0","0","0","0","3","3.3","1.1","0.0%"
"195","Gunner Olszewski (NYG)","1","1","0","0.0","0","0","0","0","0","0","2","12","3.0","0.3","0.1%"
"196","Laquon Treadwell (FA)","1","3","16","16.0","16","0","0","0","0","0","0","4","2.6","0.7","0.0%"
"197","Erik Ezukanma (MIA)","0","1","0","0","0","0","0","5","22","0","0","2","2.2","1.1","0.0%"
"198","Collin Johnson (CHI)","1","1","11","11.0","11","0","0","0","0","0","0","3","2.1","0.7","0.0%"
"199","Cody Thompson (SEA)","1","1","10","10.0","10","0","0","0","0","0","0","6","2.0","0.3","0.0%"
"200","Mason Kinsey (TEN)","1","1","6","6.0","6","0","0","0","0","0","0","6","1.6","0.3","0.0%"
"201","Colton Dowell (TEN)","1","2","3","3.0","3","0","0","0","0","0","0","9","1.3","0.1","0.0%"
"202","Kwamie Lassiter II (CIN)","1","1","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"203","Antoine Green (DET)","1","2","2","2.0","2","0","0","0","0","0","0","9","1.2","0.1","0.1%"
"204","Dee Eskridge (SEA)","0","1","0","0","0","0","0","2","5","0","0","4","0.5","0.1","0.0%"
"205","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Alex Bachman (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Jeff Smith (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","KJ Hamler (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","N'Keal Harry (MIN)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"211","Andy Isabella (BUF)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"212","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Juwann Winfree (IND)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"214","Ashton Dulin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Stanley Morgan Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"216","David Sills (DEN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"217","Davion Davis (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Denzel Mims (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Amari Rodgers (FA)","0","2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"220","Shi Smith (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Anthony Schwartz (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Dareke Young (SEA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"224","Dez Fitzpatrick (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Dan Chisena (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"226","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"227","Cody White (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Freddie Swain (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Austin Mack (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Tyrie Cleveland (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"232","Marquez Callaway (PIT)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"233","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"234","Kristian Wilkerson (LV)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"235","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Jalen Cropper (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Jesse Matthews (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Daylen Baldwin (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","Maurice Alexander (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Josh Ali (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Bryce Ford-Wheaton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Isaiah Winstead (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"244","Duece Watts (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Daniel Arias (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Keilahn Harris (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
