"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"56","DeVonta Smith","PHI","wr","5","17","241.2","13","0","0","0","0","0","0","0","0","0","127.3723","88.0891","1147.7484","6.0134","0.4147","0.2074","0.056","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","Tank Dell","HST","wr","14","17","239.9","13","0","0","0","0","0","0","12.4422","70.6715","0.4401","103.3574","63.1478","998.9499","5.6792","1.6044","0.8022","0.1536","319.5721","0.0907","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","Josh Allen","BUF","qb","12","17","377.1","12","385.9708","572.3169","4146.0323","25.0828","13.1177","32.7385","112.5499","634.9154","8.2129","0","0","0","0","10.8965","5.4482","1.0603","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","D.K. Metcalf","SEA","wr","10","17","237.7","12","0","0","0","0","0","0","0","0","0","123.738","76.6684","1122.2835","7.6549","0.893","0.4465","0.0927","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","Rico Dowdle","DAL","rb","7","17","148.4","12","0","0","0","0","0","0","147.2091","597.9702","3.6974","28.1697","23.6938","172.8562","1.2502","1.0807","0.5404","0.1026","182.5615","0.0809","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","Chuba Hubbard","CAR","rb","11","17","148.1","12","0","0","0","0","0","0","177.9909","707.0219","4.73","31.5956","25.9228","188.4198","0.8302","0.7587","0.3794","0.035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","Jalen Hurts","PHI","qb","5","17","374.7","12","355.1461","545.6328","4157.3799","22.9462","11.4513","35.6496","156.8724","653.3892","8.7503","0","0","0","0","9.4599","4.73","0.927","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","Mark Andrews","BLT","te","14","17","201.7","12","0","0","0","0","0","0","0","0","0","106.0735","76.0391","887.8245","6.1752","0.6155","0.3078","0.3608","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","Gus Edwards","LAC","rb","5","17","146.5","12","0","0","0","0","0","0","193.1339","818.0371","5.5014","19.7214","16.1271","143.3239","0.6259","1.8633","0.9316","0.2514","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","Antonio Gibson","NE","rb","14","17","145.9","12","0","0","0","0","0","0","106.0639","401.118","2.5498","41.5167","33.2793","270.488","1.4995","1.2937","0.6468","0.0605","223.7837","0.1003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","Deebo Samuel","SF","wr","9","17","234.6","12","0","0","0","0","0","0","34.6199","179.5562","2.1119","105.6496","74.5143","910.327","6.0587","1.7592","0.8796","0.1592","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","Kyle Pitts","ATL","te","12","17","197","11","0","0","0","0","0","0","0","0","0","107.3189","70.0989","970.0457","5.0212","0.4185","0.2093","0.1441","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","Michael Pittman Jr.","IND","wr","14","17","231.6","11","0","0","0","0","0","0","0","0","0","148.965","103.0485","1016.6893","4.3425","1.3555","0.6777","0.3438","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","Jonathon Brooks","CAR","rb","11","13","141.6","11","0","0","0","0","0","0","159.722","683.1871","4.6512","28.4374","23.1043","176.3527","0.9369","1.2829","0.6414","0.0714","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","Rashid Shaheed","NO","wr","12","17","229.7","11","0","0","0","0","0","0","8.8081","48.6735","0.3666","74.4653","48.9496","820.4738","4.314","1.6309","0.8154","0.0558","636.5515","0.246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","Dalton Kincaid","BUF","te","12","17","193.2","10","0","0","0","0","0","0","0","0","0","104.8585","80.546","812.2746","5.3422","0.7325","0.3662","0.2068","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","Nico Collins","HST","wr","14","17","223.8","10","0","0","0","0","0","0","0","0","0","112.3221","75.2954","1099.8459","6.0088","0.7384","0.3692","0.1382","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","George Kittle","SF","te","9","17","188.5","10","0","0","0","0","0","0","0","0","0","87.1865","64.4839","878.7734","5.7055","0.4952","0.2476","0.4404","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","Bucky Irving","TB","rb","11","17","134.4","10","0","0","0","0","0","0","111.0733","465.7871","2.8312","26.8193","22.0859","170.6821","0.9105","1.0442","0.5221","0.0864","263.1324","0.1219","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","Jayden Reed","GB","wr","10","17","223","10","0","0","0","0","0","0","8.4889","48.3711","0.3625","88.6667","62.245","712.8772","4.6253","1.6137","0.8069","0.1455","543.7631","0.2068","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","Nick Chubb","CLV","rb","10","13","132.8","9","0","0","0","0","0","0","153.5915","705.9026","4.3679","22.9435","18.8425","136.6547","0.6264","0.818","0.409","0.0974","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
