season,week,game_id,player_id,receiving_tds_40_plus,receiving_tds_50_plus,rushing_tds_40_plus,rushing_tds_50_plus,pick_sixes_thrown,fumble_recovery_tds,special_teams_fumbles_forced,special_teams_fumbles_recovered
2025,9,2025_09_SEA_WAS,00-0038694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,9,2025_09_SEA_WAS,00-0040061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,10,2025_10_ARI_SEA,00-0038543,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,10,2025_10_ARI_SEA,00-0038984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,10,2025_10_ATL_IND,00-0036223,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,10,2025_10_BAL_MIN,00-0033336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,10,2025_10_BAL_MIN,00-0040069,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,10,2025_10_BAL_MIN,00-0040104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2025,10,2025_10_BUF_MIA,00-0039040,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,10,2025_10_CLE_NYJ,00-0038120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,10,2025_10_DET_WAS,00-0039139,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025,10,2025_10_JAX_HOU,00-0038570,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,10,2025_10_JAX_HOU,00-0040342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,10,2025_10_NE_TB,00-0040131,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,10,2025_10_NE_TB,00-0040734,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2025,10,2025_10_NO_CAR,00-0037239,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,10,2025_10_PIT_LAC,00-0035202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,11,2025_11_BAL_CLE,00-0034796,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,11,2025_11_BAL_CLE,00-0036282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,11,2025_11_CAR_ATL,00-0040136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,11,2025_11_CAR_ATL,00-0040289,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,11,2025_11_CIN_PIT,00-0026158,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,11,2025_11_DET_PHI,00-0037240,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,11,2025_11_TB_BUF,00-0035537,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,11,2025_11_TB_BUF,00-0038679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,11,2025_11_TB_BUF,00-0038824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,11,2025_11_TB_BUF,00-0038951,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025,11,2025_11_TB_BUF,00-0039051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,11,2025_11_WAS_MIA,00-0038684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,12,2025_12_ATL_NO,00-0029604,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,12,2025_12_ATL_NO,00-0036309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,12,2025_12_BUF_HOU,00-0037248,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025,12,2025_12_CAR_SF,00-0040135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,12,2025_12_CLE_LV,00-0040162,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,12,2025_12_JAX_ARI,00-0040326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,12,2025_12_MIN_GB,00-0036677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,12,2025_12_NE_CIN,00-0026158,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,12,2025_12_NE_CIN,00-0039851,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,12,2025_12_NYG_DET,00-0039139,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2025,12,2025_12_PHI_DAL,00-0034198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,12,2025_12_PHI_DAL,00-0040045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,12,2025_12_PIT_CHI,00-0037031,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,12,2025_12_SEA_TEN,00-0038543,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,12,2025_12_TB_LA,00-0034855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,13,2025_13_ATL_NYJ,00-0039789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,13,2025_13_ATL_NYJ,00-0039890,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,13,2025_13_DEN_WAS,00-0036683,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,13,2025_13_GB_DET,00-0038124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,13,2025_13_JAX_TEN,00-0040238,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2025,13,2025_13_KC_DAL,00-0037563,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025,13,2025_13_LA_CAR,00-0026498,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,13,2025_13_LA_CAR,00-0040124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,13,2025_13_LV_LAC,00-0039391,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,13,2025_13_MIN_SEA,00-0040494,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,13,2025_13_NYG_NE,00-0039054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,13,2025_13_NYG_NE,00-0040574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,13,2025_13_SF_CLE,00-0038594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,13,2025_13_SF_CLE,00-0039363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,14,2025_14_CHI_GB,00-0037091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,14,2025_14_CHI_GB,00-0038124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,14,2025_14_CHI_GB,00-0039812,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,14,2025_14_CIN_BUF,00-0034857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025,14,2025_14_CIN_BUF,00-0036442,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,14,2025_14_DAL_DET,00-0039410,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,14,2025_14_IND_JAX,00-0037527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,14,2025_14_LA_ARI,00-0039738,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
