Player,PassTD,INT,SACKS,RecTD,RUSH_ATT,RushTD,RUSH_RECEIVE_TD,TD.1,LG,20+,FL,FPTS,FPTS/G,ROST,AIR/A,PKT TIME,SK,KNCK,HRRY,BLITZ,POOR,RZ ATT,RTG,CMP,PassATT,PCT,PassYDS,Y/A,Y/ATT,YBCON,YBCON/ATT,YACON/ATT,TK LOSS,TK LOSS YDS,LNG TD,YACON.1,RushATT,RushYDS,YBC,YBC/R,AIR/R,YAC,YAC/R,YACON/R,% TM,CATCHABLE,RecYDS,Y/R,AIR,DROP,YACON,BRKTKL,LNG,RZ TGT,REC,TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,Rank,G,Pos,Team,week1Targets,week2Targets,week3Targts,week4Targets,week5Targets,week6Targets,week7Targets,week8Targets,week9Targets,week10Targets,week11Targets,week12Targets,week13Targets,week14Targets,week15Targets,week16Targets,week17Targets,week18Targets,TTL,AVG
John Stephens Jr.,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,272.0,0.0,,,,,,,,,,,,,,,,,,,,,,
John Wolford,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0%,,,,,,,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,106.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Johnny Johnson III,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,291.0,1.0,WR,HOU,-,-,-,-,-,-,bye,-,-,-,-,-,-,-,-,-,-,0,0.0,0.0
Johnny Lumpkin,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,155.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Johnny Mundt,,,,,,,1.0,0.0,32.0,3.0,0.0,40.2,2.4,4.9%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,78.0,4.6,6.7,94.0,5.5,1.1,3.8%,18.0,172,10.1,114,0.0,19.0,1.0,32.0,4.0,17.0,23.0,7.0,2.0,1.0,0.0,0.0,51.0,17.0,TE,MIN,0,0,0,0,1,0,0,1,1,2,0,0,bye,1,1,3,7,6,23.0,1.4
Jonathan Mingo,,,,0.0,0,0.0,,,40.0,9.0,0.0,84.8,5.7,12.6%,,,,,,,,,,,,,,,,,,,,,,,,0.0,263,6.1,21.4,155.0,3.6,1.2,15.9%,47.0,418,9.7,921,4.0,53.0,1.0,40.0,3.0,43.0,85.0,16.0,6.0,2.0,1.0,0.0,81.0,15.0,WR,CAR,5,8,6,-,7,3,bye,5,4,7,6,6,10,9,5,1,3,-,85.0,5.7
Jonathan Taylor,,,,,,,7.0,1.0,49.0,8.0,0.0,156.4,15.6,97.3%,,,,,,,,,,,,,,4.4,4.4,287.0,1.7,2.7,14.0,-24.0,49.0,29.0,169.0,741,,,,,,,,,153.0,8.1,,,454.0,14.0,49.0,4.0,19.0,23.0,23.0,4.0,2.0,2.0,0.0,33.0,10.0,RB,IND,-,-,-,-,1,6,4,2,5,1,bye,0,-,-,-,1,1,2,23.0,2.3
Jonathan Ward,,,,,,,0.0,0.0,8.0,0.0,0.0,1.1,0.2,0.0%,,,,,,,,,,,,,,3.7,3.7,5.0,1.7,2.0,0.0,0.0,0.0,0.0,3.0,11,,,,,,,,,0.0,0.0,,,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,5.0,RB,TEN,-,-,-,-,-,-,bye,0,-,-,-,-,-,0,-,0,0,0,0.0,0.0
Jonathan Williams,,,,,,,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0%,,,,,,,,,,,,,,-2.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,1.0,-2,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,219.0,1.0,RB,WAS,-,-,-,-,-,-,-,-,-,-,-,-,-,bye,1,-,-,-,1.0,1.0
Jonnu Smith,,,,,,,3.0,0.0,60.0,11.0,1.0,124.2,7.3,14.7%,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,225.0,4.5,9.2,357.0,7.1,2.4,13.8%,54.0,582,11.6,459,4.0,118.0,6.0,60.0,9.0,50.0,70.0,25.0,4.0,3.0,2.0,2.0,17.0,17.0,TE,ATL,0,6,8,6,7,5,3,1,6,3,bye,0,3,7,2,6,4,3,70.0,4.1
Jordan Addison,,,,10.0,1,0.0,,,62.0,26.0,0.0,221.3,13.0,88.8%,,,,,,,,,,,,,,,,,,,,,,,,2.0,649,9.3,19.2,262.0,3.7,1.1,17.8%,73.0,911,13.0,"1,347",3.0,76.0,4.0,62.0,15.0,70.0,108.0,36.0,15.0,6.0,3.0,2.0,23.0,17.0,WR,MIN,6,5,8,1,9,5,10,8,7,7,6,10,bye,3,6,4,5,8,108.0,6.4
Jordan Akins,,,,,,,0.0,0.0,28.0,1.0,0.0,28.2,1.7,0.1%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,74.0,4.9,7.3,58.0,3.9,1.4,3.9%,17.0,132,8.8,109,2.0,21.0,3.0,28.0,0.0,15.0,23.0,5.0,1.0,0.0,0.0,0.0,66.0,17.0,TE,CLE,1,1,0,2,bye,2,0,1,3,1,0,0,1,1,1,2,1,6,23.0,1.4
Jordan Love,32.0,11.0,30.0,,,4.0,,,,,3.0,330.1,19.4,81.4%,4.4,2.5,30.0,42.0,47.0,215.0,98.0,93.0,98.0,372.0,579.0,64.2,"4,159",7.2,,,,,,,,,50.0,247.0,,,,,,,,,,,"2,534",29.0,,,,,,,162.0,55.0,27.0,7.0,4.0,5.0,17.0,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason,,,,,,,3.0,0.0,26.0,1.0,0.0,44.7,2.8,8.5%,,,,,,,,,,,,,,5.2,5.2,124.0,3.1,2.1,3.0,-12.0,26.0,3.0,40.0,206,,,,,,,,,31.0,10.3,,,82.0,0.0,26.0,0.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,68.0,16.0,RB,SF,-,0,0,1,1,0,0,0,bye,0,0,0,0,1,0,0,0,1,4.0,0.3
Jordan Matthews,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,310.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Jordan Mims,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,2.0,,,,,,175.0,3.0,RB,NO,-,-,-,-,0,0,-,-,-,-,bye,-,-,-,-,-,-,2,2.0,0.7
Jordan Murray,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,159.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Jordan Thomas,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,194.0,1.0,TE,CAR,-,-,-,-,-,-,bye,-,-,0,-,-,-,-,-,-,-,-,0.0,0.0
Joseph Ngata,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,307.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Josh Ali,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,241.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Josh Allen,29.0,18.0,24.0,,,15.0,,,,,4.0,410.9,24.2,100.0%,4.4,2.3,24.0,51.0,51.0,182.0,78.0,68.0,92.0,385.0,579.0,66.5,"4,306",7.4,,,,,,,,,111.0,524.0,,,,,,,,,,,"2,533",31.0,,,,,,,164.0,49.0,19.0,9.0,4.0,1.0,17.0,,,,,,,,,,,,,,,,,,,,,,
Josh Downs,,,,2.0,0,0.0,,,59.0,19.0,0.0,157.1,9.2,44.2%,,,,,,,,,,,,,,,,,,,,,,,,0.0,400,5.9,10.3,371.0,5.5,0.9,17.9%,73.0,771,11.3,703,5.0,62.0,2.0,59.0,9.0,68.0,98.0,28.0,10.0,5.0,2.0,2.0,43.0,17.0,WR,IND,7,5,12,3,6,8,6,9,1,3,bye,13,5,3,3,9,2,3,98.0,5.8
Josh Jacobs,,,,,,,6.0,0.0,63.0,8.0,1.0,181.1,13.9,95.1%,,,,,,,,,,,,,,3.5,3.5,512.0,2.2,1.3,26.0,-56.0,63.0,82.0,233.0,805,,,,,,,,,296.0,8.0,,,293.0,10.0,63.0,6.0,37.0,54.0,9.0,3.0,2.0,2.0,1.0,28.0,13.0,RB,LV,3,6,5,11,5,5,4,4,0,2,1,6,bye,2,-,-,-,-,54.0,4.2
Josh Johnson,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0%,,,,,,,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,103.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Josh Oliver,,,,,,,2.0,0.0,33.0,4.0,1.0,53.3,3.1,0.7%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,51.0,2.3,3.3,162.0,7.4,1.6,4.6%,22.0,213,9.7,72,0.0,36.0,1.0,33.0,5.0,22.0,28.0,11.0,3.0,1.0,0.0,0.0,42.0,17.0,TE,MIN,3,3,2,0,2,0,2,0,2,0,4,0,bye,1,2,2,2,3,28.0,1.6
Josh Pederson,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,176.0,2.0,TE,JAC,-,-,-,-,-,-,-,-,bye,-,-,-,-,0,0,-,-,-,0.0,0.0
Josh Reynolds,,,,5.0,0,0.0,,,33.0,18.0,1.0,128.8,7.6,10.5%,,,,,,,,,,,,,,,,,,,,,,,,0.0,435,10.9,16.1,173.0,4.3,1.3,11.1%,44.0,608,15.2,645,4.0,51.0,2.0,33.0,10.0,40.0,64.0,26.0,17.0,1.0,0.0,0.0,55.0,17.0,WR,DET,7,6,0,6,5,3,3,1,bye,4,2,4,3,4,3,4,2,7,64.0,3.8
Josh Whyle,,,,,,,1.0,0.0,24.0,1.0,0.0,24.4,2.2,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,54.0,6.0,16.3,40.0,4.4,1.7,3.1%,10.0,94,10.4,147,1.0,15.0,1.0,24.0,5.0,9.0,15.0,5.0,1.0,0.0,0.0,0.0,72.0,11.0,TE,TEN,0,0,0,2,1,1,bye,-,1,5,2,1,2,-,-,-,-,-,15.0,1.4
Joshua Dobbs,13.0,10.0,30.0,,,6.0,,,,,7.0,210.5,16.2,22.4%,3.9,2.6,30.0,58.0,23.0,121.0,67.0,48.0,81.0,262.0,417.0,62.8,"2,464",5.9,,,,,,,,,77.0,421.0,,,,,,,,,,,"1,622",15.0,,,,,,,97.0,28.0,4.0,2.0,1.0,20.0,13.0,,,,,,,,,,,,,,,,,,,,,,
Joshua Kelley,,,,,,,2.0,0.0,49.0,4.0,1.0,61.7,3.6,11.0%,,,,,,,,,,,,,,3.8,3.8,222.0,2.1,1.7,10.0,-26.0,49.0,1.0,107.0,405,,,,,,,,,32.0,4.0,,,183.0,6.0,49.0,1.0,8.0,12.0,10.0,2.0,1.0,1.0,0.0,60.0,17.0,RB,LAC,1,1,1,0,bye,2,0,0,1,0,0,2,3,0,1,0,0,0,12.0,0.7
Joshua Palmer,,,,2.0,1,0.0,,,79.0,19.0,1.0,106.7,9.7,29.1%,,,,,,,,,,,,,,,,,,,,,,,,6.0,385,10.1,18.2,196.0,5.2,0.6,9.9%,42.0,581,15.3,693,3.0,22.0,1.0,79.0,9.0,38.0,61.0,16.0,9.0,4.0,3.0,3.0,65.0,11.0,WR,LAC,1,5,7,8,bye,7,7,4,-,-,0,-,-,-,4,8,-,10,61.0,5.5
Josiah Deguara,,,,,,,0.0,0.0,19.0,0.0,0.0,14.5,1.0,0.1%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26.0,3.3,3.3,39.0,4.9,1.3,1.4%,8.0,65,8.1,26,0.0,10.0,0.0,19.0,0.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,81.0,15.0,TE,GB,0,2,0,4,1,bye,0,0,1,0,0,-,-,0,0,0,0,0,8.0,0.5
JuJu Smith-Schuster,,,,1.0,0,0.0,,,37.0,4.0,0.0,61.0,5.5,18.5%,,,,,,,,,,,,,,,,,,,,,,,,0.0,166,5.7,11.4,94.0,3.2,0.5,8.7%,32.0,260,9.0,331,2.0,14.0,0.0,37.0,2.0,29.0,47.0,10.0,3.0,1.0,0.0,0.0,96.0,11.0,WR,NE,7,6,3,5,4,-,-,1,7,1,bye,4,3,6,-,-,-,-,47.0,4.3
Julian Hill,,,,,,,0.0,0.0,18.0,0.0,1.0,8.8,0.6,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18.0,3.0,4.8,30.0,5.0,2.7,1.6%,6.0,48,8.0,29,0.0,16.0,0.0,18.0,1.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,91.0,15.0,TE,MIA,-,-,1,0,0,0,0,2,0,bye,1,0,2,0,0,0,1,2,9.0,0.6
Julio Jones,,,,3.0,0,0.0,,,22.0,1.0,0.0,36.4,3.3,1.4%,,,,,,,,,,,,,,,,,,,,,,,,0.0,46,4.2,12.8,28.0,2.5,0.6,3.6%,12.0,74,6.7,141,1.0,7.0,0.0,22.0,4.0,11.0,19.0,2.0,1.0,0.0,0.0,0.0,128.0,11.0,WR,PHI,-,-,-,-,-,-,1,2,0,bye,2,3,0,0,1,4,2,4,19.0,1.7
Julius Chestnut,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,161.0,2.0,RB,TEN,0,0,-,-,-,-,bye,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
Justice Hill,,,,,,,3.0,1.0,41.0,4.0,1.0,109.3,6.8,17.6%,,,,,,,,,,,,,,4.6,4.6,289.0,3.4,1.2,6.0,-11.0,14.0,30.0,84.0,387,,,,,,,,,206.0,7.4,,,98.0,9.0,41.0,1.0,28.0,39.0,9.0,2.0,1.0,1.0,0.0,44.0,16.0,RB,BAL,0,3,-,0,4,3,1,4,1,0,1,1,bye,2,1,3,5,10,39.0,2.4
Justin Fields,16.0,9.0,44.0,,,4.0,,,,,4.0,239.1,18.4,94.1%,4.0,2.8,44.0,33.0,44.0,143.0,58.0,47.0,84.0,227.0,370.0,61.4,"2,562",6.9,,,,,,,,,124.0,657.0,,,,,,,,,,,"1,472",13.0,,,,,,,95.0,45.0,16.0,4.0,3.0,18.0,13.0,,,,,,,,,,,,,,,,,,,,,,
Justin Hardee,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,325.0,7.0,WR,NYJ,-,-,0,-,0,-,bye,-,-,-,-,-,0,0,0,0,-,0,0.0,0.0
Justin Herbert,20.0,7.0,29.0,,,3.0,,,,,1.0,241.2,18.6,54.5%,4.0,2.4,29.0,42.0,36.0,158.0,71.0,63.0,89.0,297.0,456.0,65.1,"3,134",6.9,,,,,,,,,52.0,228.0,,,,,,,,,,,"1,836",22.0,,,,,,,119.0,42.0,12.0,4.0,3.0,17.0,13.0,,,,,,,,,,,,,,,,,,,,,,
Justin Jefferson,,,,5.0,1,0.0,,,52.0,35.0,1.0,202.2,20.2,100.0%,,,,,,,,,,,,,,,,,,,,,,,,-12.0,814,12.0,18.5,260.0,3.8,1.4,16.5%,72.0,"1,074",15.8,"1,258",1.0,92.0,2.0,52.0,11.0,68.0,100.0,42.0,25.0,7.0,2.0,1.0,33.0,10.0,WR,MIN,12,13,13,9,6,-,-,-,-,-,-,-,bye,3,10,10,10,14,100.0,10.0
Justin Shorter,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.1%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,294.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Justin Snow,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,189.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Justin Watson,,,,3.0,0,0.0,,,41.0,14.0,1.0,89.0,5.6,2.4%,,,,,,,,,,,,,,,,,,,,,,,,0.0,413,15.3,34.4,47.0,1.7,0.2,8.8%,30.0,460,17.0,928,4.0,5.0,0.0,41.0,6.0,27.0,53.0,19.0,8.0,5.0,1.0,0.0,77.0,16.0,WR,KC,4,5,3,1,3,1,-,3,5,bye,11,3,0,1,3,6,3,1,53.0,3.3
Justyn Ross,,,,0.0,0,0.0,,,20.0,1.0,0.0,11.3,1.1,0.4%,,,,,,,,,,,,,,,,,,,,,,,,0.0,38,6.3,18.0,15.0,2.5,1.3,1.8%,8.0,53,8.8,108,2.0,8.0,0.0,20.0,1.0,6.0,11.0,2.0,1.0,0.0,0.0,0.0,171.0,10.0,WR,KC,1,0,1,0,4,0,0,-,-,bye,-,-,-,-,-,1,0,4,11.0,1.1
Juwan Johnson,,,,,,,4.0,0.0,32.0,8.0,0.0,97.8,7.5,18.9%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,223.0,6.0,11.8,145.0,3.9,1.0,10.2%,40.0,368,9.9,437,3.0,36.0,3.0,32.0,7.0,37.0,59.0,14.0,7.0,1.0,0.0,0.0,26.0,13.0,TE,NO,5,3,4,-,-,-,-,2,5,3,bye,7,3,3,2,7,12,3,59.0,4.5
Juwann Winfree,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,1.0,,,,,,213.0,4.0,WR,IND,0,-,-,-,-,-,-,1,0,0,bye,-,-,-,-,-,-,-,1.0,0.3
K.J. Osborn,,,,3.0,0,0.0,,,47.0,10.0,0.0,120.0,7.5,27.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,343,7.1,13.7,171.0,3.6,0.4,12.4%,53.0,540,11.3,659,5.0,21.0,1.0,47.0,10.0,48.0,75.0,23.0,6.0,3.0,1.0,0.0,57.0,16.0,WR,MIN,6,6,3,2,9,5,6,10,2,-,2,4,bye,7,2,7,0,4,75.0,4.7
KJ Hamler,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,208.0,0.0,,,,,,,,,,,,,,,,,,,,,,
KaVontae Turpin,,,,3.0,11,1.0,,,34.0,3.0,0.0,59.7,3.7,0.7%,,,,,,,,,,,,,,,,,,,,,,,,110.0,88,7.3,13.6,39.0,3.3,0.3,3.0%,15.0,127,10.6,163,3.0,4.0,1.0,34.0,6.0,12.0,18.0,5.0,2.0,1.0,0.0,0.0,101.0,16.0,WR,DAL,3,1,0,1,1,0,bye,2,1,-,3,1,3,1,0,1,0,0,18.0,1.1
Kadarius Toney,,,,1.0,11,0.0,,,18.0,0.0,0.0,53.0,4.1,11.3%,,,,,,,,,,,,,,,,,,,,,,,,31.0,41,1.5,4.1,128.0,4.7,1.2,6.3%,32.0,169,6.3,112,5.0,33.0,5.0,18.0,5.0,27.0,38.0,6.0,0.0,0.0,0.0,0.0,108.0,13.0,WR,KC,5,5,1,2,6,6,1,1,1,bye,2,-,0,4,4,-,-,-,38.0,2.9
Kaden Davis,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,259.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Kalif Raymond,,,,1.0,7,0.0,,,41.0,14.0,0.0,97.4,5.7,1.3%,,,,,,,,,,,,,,,,,,,,,,,,75.0,275,7.9,11.1,214.0,6.1,0.7,7.7%,37.0,489,14.0,388,2.0,26.0,1.0,41.0,4.0,35.0,44.0,23.0,9.0,3.0,2.0,0.0,70.0,17.0,WR,DET,1,3,6,1,3,3,2,4,bye,4,2,5,0,4,1,2,1,2,44.0,2.6
Kareem Hunt,,,,,,,9.0,0.0,16.0,0.0,0.0,118.5,7.9,47.1%,,,,,,,,,,,,,,3.0,3.0,264.0,2.0,1.1,13.0,-18.0,16.0,13.0,135.0,411,,,,,,,,,84.0,5.6,,,147.0,2.0,16.0,1.0,15.0,21.0,5.0,0.0,0.0,0.0,0.0,41.0,15.0,RB,CLE,-,-,3,0,bye,3,1,1,1,0,3,0,1,1,1,4,1,1,21.0,1.4
Kawaan Baker,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,299.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Kayshon Boutte,,,,0.0,0,0.0,,,11.0,0.0,0.0,3.9,0.8,0.1%,,,,,,,,,,,,,,,,,,,,,,,,0.0,9,4.5,62.5,10.0,5.0,1.5,1.3%,3.0,19,9.5,125,2.0,3.0,0.0,11.0,1.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,192.0,5.0,WR,NE,4,-,-,-,-,-,-,-,-,1,bye,2,-,-,-,0,-,0,7.0,1.4
Kazmeir Allen,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,256.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Ke'Shawn Vaughn,,,,,,,0.0,0.0,9.0,0.0,0.0,6.4,1.3,0.2%,,,,,,,,,,,,,,1.8,1.8,18.0,0.8,1.0,4.0,-13.0,0.0,0.0,24.0,42,,,,,,,,,2.0,1.0,,,24.0,4.0,9.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,119.0,5.0,RB,TB,-,-,-,1,bye,2,1,0,1,-,-,-,-,-,-,-,-,-,5.0,1.0
Keaontay Ingram,,,,,,,0.0,0.0,14.0,0.0,0.0,14.0,2.0,1.7%,,,,,,,,,,,,,,2.1,2.1,47.0,1.3,0.8,11.0,-29.0,0.0,4.0,35.0,74,,,,,,,,,26.0,6.5,,,27.0,3.0,14.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,104.0,7.0,RB,ARI,0,0,1,-,-,2,-,1,0,0,-,-,-,bye,-,-,-,-,4.0,0.6
Kearis Jackson,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,282.0,2.0,WR,TEN,0,0,-,-,-,-,bye,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
Keaton Mitchell,,,,,,,2.0,0.0,60.0,13.0,0.0,69.9,10.0,23.6%,,,,,,,,,,,,,,8.4,8.4,245.0,5.2,3.2,6.0,-18.0,40.0,10.0,47.0,396,,,,,,,,,93.0,10.3,,,151.0,7.0,60.0,1.0,9.0,11.0,12.0,7.0,3.0,2.0,1.0,59.0,7.0,RB,BAL,-,-,-,-,-,-,1,-,1,2,1,2,bye,2,2,-,-,-,11.0,1.6
Keelan Cole Sr.,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,324.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Keelan Doss,,,,0.0,0,0.0,,,9.0,0.0,0.0,9.3,1.9,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,19,3.2,16.2,14.0,2.3,0.2,2.1%,6.0,33,5.5,97,0.0,1.0,0.0,9.0,2.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,177.0,5.0,WR,LAC,-,-,-,0,bye,0,0,-,-,-,-,-,-,-,-,-,8,5,13.0,2.6
Keenan Allen,,,,7.0,2,0.0,,,42.0,24.0,1.0,278.9,21.5,92.9%,,,,,,,,,,,,,,,,,,,,,,,,6.0,847,7.8,13.4,396.0,3.7,0.8,24.4%,114.0,"1,243",11.5,"1,446",5.0,83.0,5.0,42.0,12.0,108.0,150.0,47.0,19.0,4.0,1.0,0.0,8.0,13.0,WR,LAC,9,10,20,5,bye,11,9,10,9,14,16,16,9,12,-,-,-,-,150.0,11.5
Keilahn Harris,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,246.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Keith Kirkwood,,,,1.0,0,0.0,,,13.0,0.0,0.0,14.7,1.1,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,36,7.2,18.2,1.0,0.2,0.0,1.6%,5.0,37,7.4,91,1.0,0.0,0.0,13.0,3.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,166.0,13.0,WR,NO,1,1,1,0,1,0,0,-,-,-,bye,3,0,0,1,1,0,-,9.0,0.7
Keith Smith,,,,,,,0.0,0.0,0.0,0.0,0.0,6.3,0.5,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,33.0,11.0,,,,,,,3.0,3.0,,,,,,120.0,13.0,RB,ATL,0,0,0,0,1,0,1,0,-,0,bye,1,0,0,0,-,-,-,3.0,0.2
Keith Zinger,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,190.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Kellen Mond,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0%,,,,,,,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,76.0,0.0,,,,,,,,,,,,,,,,,,,,,,
