Player,PassTD,INT,SACKS,RecTD,RUSH_ATT,RushTD,RUSH_RECEIVE_TD,TD.1,LG,20+,FL,FPTS,FPTS/G,ROST,AIR/A,PKT TIME,SK,KNCK,HRRY,BLITZ,POOR,RZ ATT,RTG,CMP,PassATT,PCT,PassYDS,Y/A,Y/ATT,YBCON,YBCON/ATT,YACON/ATT,TK LOSS,TK LOSS YDS,LNG TD,YACON.1,RushATT,RushYDS,YBC,YBC/R,AIR/R,YAC,YAC/R,YACON/R,% TM,CATCHABLE,RecYDS,Y/R,AIR,DROP,YACON,BRKTKL,LNG,RZ TGT,REC,TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,Rank,G,Pos,Team,week1Targets,week2Targets,week3Targts,week4Targets,week5Targets,week6Targets,week7Targets,week8Targets,week9Targets,week10Targets,week11Targets,week12Targets,week13Targets,week14Targets,week15Targets,week16Targets,week17Targets,week18Targets,TTL,AVG
Brandon Aiyuk,,,,7.0,0,0.0,,,76.0,42.0,1.0,249.2,15.6,97.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,960,12.8,19.3,382.0,5.1,1.3,22.3%,77.0,"1,342",17.9,"1,448",2.0,94.0,2.0,76.0,9.0,75.0,105.0,58.0,28.0,10.0,3.0,1.0,14.0,16.0,WR,SF,8,6,-,6,7,10,6,9,bye,3,6,4,7,9,5,7,8,4,105.0,6.6
Brandon Allen,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0%,,,,,,,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,109.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Brandon Bolden,,,,,,,1.0,0.0,26.0,1.0,0.0,11.1,2.2,0.1%,,,,,,,,,,,,,,7.8,7.8,28.0,7.0,0.8,1.0,-1.0,26.0,0.0,4.0,31,,,,,,,,,0.0,0.0,,,3.0,0.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,111.0,5.0,RB,LV,0,-,-,-,-,-,-,-,-,-,-,-,bye,0,0,0,0,-,0.0,0.0
Brandon Johnson,,,,4.0,0,0.0,,,50.0,10.0,0.0,73.4,5.6,1.2%,,,,,,,,,,,,,,,,,,,,,,,,0.0,195,10.3,17.3,89.0,4.7,0.9,6.3%,20.0,284,14.9,328,1.0,18.0,2.0,50.0,6.0,19.0,30.0,11.0,6.0,2.0,1.0,1.0,86.0,13.0,WR,DEN,3,3,3,1,1,2,0,-,bye,-,-,-,0,0,1,5,6,5,30.0,2.3
Brandon Powell,,,,1.0,5,0.0,,,28.0,6.0,1.0,67.1,3.9,1.2%,,,,,,,,,,,,,,,,,,,,,,,,17.0,220,7.6,11.4,104.0,3.6,1.2,7.3%,30.0,324,11.2,332,1.0,34.0,1.0,28.0,6.0,29.0,44.0,13.0,6.0,0.0,0.0,0.0,92.0,17.0,WR,MIN,0,0,1,0,6,4,5,3,3,5,4,3,bye,1,0,4,2,3,44.0,2.6
Braxton Berrios,,,,1.0,1,0.0,,,22.0,1.0,0.0,57.9,3.6,1.6%,,,,,,,,,,,,,,,,,,,,,,,,11.0,153,5.7,8.7,85.0,3.1,0.4,6.0%,28.0,238,8.8,234,1.0,10.0,1.0,22.0,1.0,27.0,33.0,13.0,1.0,0.0,0.0,0.0,104.0,16.0,WR,MIA,5,3,2,6,2,2,2,3,0,bye,-,1,0,2,1,0,2,2,33.0,2.1
Brayden Willis,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,145.0,7.0,TE,SF,-,-,0,0,-,-,-,-,bye,-,-,-,-,0,0,0,0,0,0.0,0.0
Braylon Sanders,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,292.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,,,,,,,5.0,4.0,83.0,19.0,0.0,290.5,17.1,98.0%,,,,,,,,,,,,,,4.5,4.5,504.0,2.3,2.2,31.0,-72.0,72.0,209.0,223.0,994,,,,,,,,,591.0,7.8,,,490.0,19.0,83.0,5.0,76.0,95.0,20.0,7.0,5.0,4.0,3.0,2.0,17.0,RB,NYJ,2,2,2,4,3,5,bye,9,4,3,6,9,8,9,2,16,9,2,95.0,5.6
Brennan Clay,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,216.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Brenton Strange,,,,,,,1.0,0.0,17.0,0.0,0.0,14.5,1.0,0.1%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.0,1.4,13.6,28.0,5.6,0.6,1.5%,6.0,35,7.0,68,0.0,3.0,0.0,17.0,4.0,5.0,9.0,2.0,0.0,0.0,0.0,0.0,80.0,14.0,TE,JAC,0,0,2,0,1,3,0,0,bye,1,0,0,-,-,-,0,2,0,9.0,0.6
Brett Rypien,0.0,1.0,2.0,,,0.0,,,,,1.0,5.8,2.9,0.0%,2.4,2.4,2.0,4.0,2.0,8.0,6.0,0.0,53.0,18.0,38.0,47.4,172,4.5,,,,,,,,,3.0,19.0,,,,,,,,,,,90,2.0,,,,,,,8.0,1.0,1.0,0.0,0.0,68.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Brett Smith,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0%,,,,,,,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,108.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Brevin Jordan,,,,,,,2.0,0.0,27.0,3.0,0.0,50.9,3.9,6.8%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,95.0,5.6,6.8,124.0,7.3,1.1,3.7%,18.0,219,12.9,115,1.0,19.0,1.0,27.0,2.0,17.0,21.0,10.0,3.0,0.0,0.0,0.0,44.0,13.0,TE,HOU,-,2,2,0,0,1,bye,-,-,-,0,2,5,3,1,3,2,0,21.0,1.6
Brian Hoyer,0.0,2.0,1.0,,,0.0,,,,,0.0,7.0,2.3,0.2%,3.7,2.1,1.0,1.0,1.0,14.0,10.0,8.0,44.0,23.0,42.0,54.8,231,5.5,,,,,,,,,3.0,-3.0,,,,,,,,,,,157,1.0,,,,,,,9.0,2.0,1.0,1.0,0.0,67.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Brian Robinson Jr.,,,,,,,5.0,4.0,29.0,4.0,2.0,198.1,13.2,83.8%,,,,,,,,,,,,,,4.1,4.1,420.0,2.4,1.8,10.0,-19.0,15.0,112.0,178.0,733,,,,,,,,,368.0,10.2,,,313.0,16.0,29.0,5.0,36.0,43.0,19.0,4.0,0.0,0.0,0.0,21.0,15.0,RB,WAS,2,3,0,2,4,2,1,2,2,6,9,3,0,bye,-,-,4,3,43.0,2.9
Britain Covey,,,,0.0,0,0.0,,,22.0,1.0,0.0,8.2,0.5,0.1%,,,,,,,,,,,,,,,,,,,,,,,,0.0,16,4.0,13.0,26.0,6.5,2.0,1.1%,4.0,42,10.5,52,0.0,8.0,1.0,22.0,1.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,179.0,16.0,WR,PHI,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,1,-,5,6.0,0.4
Brittain Brown,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,162.0,1.0,RB,LV,-,-,-,-,-,-,-,-,-,-,-,-,bye,-,-,-,0,-,0.0,0.0
Brock Purdy,31.0,11.0,28.0,,,2.0,,,,,2.0,306.6,19.2,90.8%,5.5,2.6,28.0,42.0,28.0,142.0,70.0,64.0,112.0,308.0,444.0,69.4,"4,280",9.6,,,,,,,,,39.0,144.0,,,,,,,,,,,"2,439",9.0,,,,,,,167.0,72.0,31.0,14.0,4.0,6.0,16.0,,,,,,,,,,,,,,,,,,,,,,
Brock Wright,,,,,,,1.0,0.0,25.0,1.0,0.0,28.1,2.0,0.1%,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,42.0,3.2,3.1,49.0,3.8,0.9,2.4%,13.0,91,7.0,40,0.0,12.0,0.0,25.0,1.0,13.0,14.0,1.0,1.0,0.0,0.0,0.0,67.0,14.0,TE,DET,2,0,0,0,3,1,0,1,bye,3,0,1,1,2,0,-,-,-,14.0,1.0
Bryan Thompson,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,274.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Bryant Koback,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,166.0,1.0,RB,PHI,-,-,-,0,-,-,-,-,-,bye,-,-,-,-,-,-,-,-,0.0,0.0
Bryce Ford-Wheaton,,,,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,242.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Bryce Young,11.0,10.0,62.0,,,0.0,,,,,6.0,166.5,10.4,11.2%,3.4,2.5,62.0,50.0,38.0,166.0,103.0,39.0,74.0,315.0,527.0,59.8,"2,877",5.5,,,,,,,,,39.0,253.0,,,,,,,,,,,"1,778",23.0,,,,,,,109.0,26.0,10.0,4.0,0.0,23.0,16.0,,,,,,,,,,,,,,,,,,,,,,
