season,sleeper_id,player,position,team,injury_probability,injuries_per_season,injury_probability_per_game,projected_games_missed,durability,updated_at
2026,2449,Stefon Diggs,WR,WAS,0.31,0.7,0.02,1.0,5.0,2026 copied table
2026,7594,Chuba Hubbard,RB,CAR,0.36,0.4,0.03,0.8,5.0,2026 copied table
2026,13298,KC Concepcion,WR,CLE,0.29,TBD,0.02,1.0,5.0,2026 copied table
2026,12484,Jayden Higgins,WR,HOU,0.23,0,0.02,1.4,5.0,2026 copied table
2026,10232,Michael Wilson,WR,ARI,0.42,1.3,0.03,2.7,4.9,2026 copied table
2026,8134,Khalil Shakir,WR,BUF,0.35,0.6,0.03,0.9,5.0,2026 copied table
2026,13286,Jadarian Price,RB,SEA,0.29,TBD,0.02,0.8,0.5,2026 copied table
2026,8126,Wan'Dale Robinson,WR,TEN,0.36,0.6,0.03,1.8,4.5,2026 copied table
2026,5872,Deebo Samuel,WR,SF,0.51,2.6,0.04,3.6,2.5,2026 copied table
2026,6806,J.K. Dobbins,RB,DEN,0.39,1.2,0.03,2.2,0.9,2026 copied table
2026,13294,Makai Lemon,WR,PHI,0.33,TBD,0.02,1.7,0.0,2026 copied table
2026,8110,Jake Ferguson,TE,DAL,0.55,0.8,0.05,2.8,5.0,2026 copied table
2026,12489,RJ Harvey,RB,DEN,0.36,1,0.03,1.3,5.0,2026 copied table
2026,8408,Jordan Mason,RB,MIN,0.39,1,0.03,1.9,5.0,2026 copied table
2026,12501,Matthew Golden,WR,GB,0.37,1,0.03,0.9,1.9,2026 copied table
2026,5022,Dallas Goedert,TE,PHI,0.83,1.3,0.1,3.6,4.5,2026 copied table
2026,5012,Mark Andrews,TE,BAL,0.36,0.6,0.03,0.9,5.0,2026 copied table
2026,10236,Dalton Kincaid,TE,BUF,0.62,2,0.06,2.3,5.0,2026 copied table
2026,9480,Brenton Strange,TE,JAC,0.48,0.7,0.04,3.4,5.0,2026 copied table
2026,8676,Rashid Shaheed,WR,SEA,0.38,1,0.03,2.4,3.6,2026 copied table
2026,11583,Jonathon Brooks,RB,CAR,0.35,0.5,0.03,0.9,0.4,2026 copied table
2026,12533,Jacory Croskey-Merritt,RB,WAS,0.3,0,0.02,0.9,5.0,2026 copied table
2026,8131,Isaiah Likely,TE,NYG,0.73,0.6,0.07,3.0,5.0,2026 copied table
2026,3214,Hunter Henry,TE,NE,0.47,0.9,0.04,2.8,5.0,2026 copied table
2026,11618,Jalen McMillan,WR,TB,0.39,1,0.03,1.9,5.0,2026 copied table
2026,1479,Keenan Allen,WR,UNS,0.49,1.1,0.04,4.1,4.2,2026 copied table
2026,7002,Juwan Johnson,TE,NO,0.45,0.8,0.03,2.9,5.0,2026 copied table
2026,7567,Kenneth Gainwell,RB,TB,0.31,0.4,0.02,1.2,5.0,2026 copied table
2026,11646,Jalen Coker,WR,CAR,0.18,0,0.01,1.7,5.0,2026 copied table
2026,8136,Rachaad White,RB,WAS,0.39,0.4,0.03,1.2,5.0,2026 copied table
2026,9508,Tyjae Spears,RB,TEN,0.37,1.7,0.03,1.0,4.6,2026 copied table
2026,5001,Dalton Schultz,TE,HOU,0.57,0.8,0.05,2.8,5.0,2026 copied table
2026,5844,T.J. Hockenson,TE,MIN,0.51,1.1,0.04,2.9,4.5,2026 copied table
2026,13276,Omar Cooper Jr.,WR,NYJ,0.38,TBD,0.03,2.2,1.6,2026 copied table
2026,13330,Kenyon Sadiq,TE,NYJ,0.24,TBD,0.02,0.9,5.0,2026 copied table
2026,13346,Denzel Boston,WR,CLE,0.42,TBD,0.03,2.9,5.0,2026 copied table
2026,8210,Chigoziem Okonkwo,TE,WAS,0.22,0.2,0.01,0.6,5.0,2026 copied table
2026,4199,Aaron Jones,RB,MIN,0.65,2.1,0.06,2.4,5.0,2026 copied table
2026,11586,Blake Corum,RB,LAR,0.33,0.5,0.02,0.6,3.5,2026 copied table
2026,4981,Calvin Ridley,WR,TEN,0.48,0.6,0.04,3.7,5.0,2026 copied table
2026,11625,Adonai Mitchell,WR,NYJ,0.28,0,0.02,1.1,3.9,2026 copied table
2026,6783,Jerry Jeudy,WR,CLE,0.32,1.3,0.02,0.7,5.0,2026 copied table
2026,13274,Germie Bernard,WR,PIT,0.37,TBD,0.03,1.3,5.0,2026 copied table
2026,8111,Cade Otton,TE,TB,0.64,0.4,0.06,2.9,5.0,2026 copied table
2026,7049,Jauan Jennings,WR,MIN,0.33,1.5,0.02,0.7,5.0,2026 copied table
2026,7600,Pat Freiermuth,TE,PIT,0.39,1.4,0.03,1.6,5.0,2026 copied table
2026,11603,AJ Barner,TE,SEA,0.28,0,0.02,1.1,5.0,2026 copied table
2026,11559,Michael Penix Jr.,QB,ATL,0.39,1,0.03,3.3,1.9,2026 copied table
2026,12469,Dylan Sampson,RB,CLE,0.34,1,0.02,1.0,5.0,2026 copied table
2026,9753,Zach Charbonnet,RB,SEA,0.37,1,0.03,0.8,5.0,2026 copied table
2026,7571,Rashod Bateman,WR,BAL,0.33,1.2,0.02,0.8,4.3,2026 copied table
2026,12536,Jaylin Noel,WR,HOU,0.19,0,0.01,1.6,5.0,2026 copied table
2026,4039,Cooper Kupp,WR,SEA,0.36,1.1,0.03,0.9,4.4,2026 copied table
2026,6149,Darius Slayton,WR,NYG,0.39,1.6,0.03,2.4,5.0,2026 copied table
2026,8205,Isiah Pacheco,RB,DET,0.36,1.2,0.03,1.3,5.0,2026 copied table
2026,12509,Tre Harris,WR,LAC,0.42,0,0.03,1.8,5.0,2026 copied table
2026,11783,Ryan Flournoy,WR,DAL,0.33,0.5,0.02,0.8,5.0,2026 copied table
2026,6803,Brandon Aiyuk,WR,UNS,0.33,0.8,0.02,1.0,2.7,2026 copied table
2026,6768,Tua Tagovailoa,QB,ATL,0.27,1.7,0.02,1.3,3.8,2026 copied table
2026,13320,Zachariah Branch,WR,ATL,0.2,TBD,0.01,1.0,5.0,2026 copied table
2026,4035,Alvin Kamara,RB,NO,0.39,0.9,0.03,1.2,3.4,2026 copied table
2026,8172,Greg Dulcich,TE,MIA,0.22,0.8,0.01,0.3,2.0,2026 copied table
2026,4993,Mike Gesicki,TE,CIN,0.42,0.5,0.03,2.3,5.0,2026 copied table
2026,12524,Shedeur Sanders,QB,CLE,0.34,2,0.02,1.2,5.0,2026 copied table
2026,11655,Tyrone Tracy Jr.,RB,NYG,0.34,1,0.02,1.5,5.0,2026 copied table
2026,9511,Keaton Mitchell,RB,LAC,0.33,1.3,0.02,2.1,5.0,2026 copied table
2026,10219,Chris Rodriguez,RB,JAC,0.27,0.7,0.02,0.5,5.0,2026 copied table
2026,12492,Pat Bryant,WR,DEN,0.65,4,0.06,2.0,5.0,2026 copied table
2026,4066,Evan Engram,TE,DEN,0.39,1.2,0.03,1.6,5.0,2026 copied table
2026,4017,Deshaun Watson,QB,CLE,0.29,0.7,0.02,1.1,1.3,2026 copied table
2026,7090,Darnell Mooney,WR,NYG,0.55,1.7,0.05,3.3,5.0,2026 copied table
2026,8132,Tyler Allgeier,RB,ARI,0.23,0,0.02,0.7,5.0,2026 copied table
2026,9486,Dontayvion Wicks,WR,PHI,0.35,1.3,0.03,0.8,5.0,2026 copied table
2026,8154,Brian Robinson Jr.,RB,ATL,0.36,0.8,0.03,1.3,5.0,2026 copied table
2026,8188,Tyquan Thornton,WR,KC,0.14,0.6,0.01,1.0,5.0,2026 copied table
2026,4454,Kendrick Bourne,WR,ARI,0.25,0.1,0.02,0.5,5.0,2026 copied table
2026,9479,Darnell Washington,TE,PIT,0.34,1,0.02,1.5,5.0,2026 copied table
2026,11637,Keon Coleman,WR,BUF,0.24,0.5,0.02,1.4,5.0,2026 copied table
2026,4033,David Njoku,TE,LAC,0.81,1.2,0.09,2.7,4.5,2026 copied table
2026,5995,Justice Hill,RB,BAL,0.32,1,0.02,1.4,2.9,2026 copied table
2026,9494,Marvin Mims Jr.,WR,DEN,0.41,1,0.03,1.7,5.0,2026 copied table
2026,12530,Travis Hunter,WR,JAC,0.44,2,0.03,2.2,0.4,2026 copied table
2026,8119,Jahan Dotson,WR,ATL,0.25,0.2,0.02,0.8,5.0,2026 copied table
2026,9482,Michael Mayer,TE,LVR,0.36,1,0.03,1.7,5.0,2026 copied table
2026,2505,Darren Waller,TE,UNS,0.54,1.4,0.04,2.1,2.5,2026 copied table
2026,11581,MarShawn Lloyd,RB,GB,0.72,2.5,0.07,2.7,0.6,2026 copied table
2026,7670,Joshua Palmer,WR,BUF,0.42,1.6,0.03,3.0,5.0,2026 copied table
2026,12457,Jaydon Blue,RB,DAL,0.22,2,0.01,1.0,5.0,2026 copied table
2026,10226,Andrei Iosivas,WR,CIN,0.08,0,0.0,0.6,5.0,2026 copied table
2026,4137,James Conner,RB,ARI,0.34,1.9,0.02,1.3,3.4,2026 copied table
2026,11627,Troy Franklin,WR,DEN,0.36,0.5,0.03,1.3,5.0,2026 copied table
2026,4147,Samaje Perine,RB,CIN,0.36,0.4,0.03,1.2,5.0,2026 copied table
2026,11626,Xavier Legette,WR,CAR,0.35,2,0.03,1.3,5.0,2026 copied table
2026,9502,Nathaniel Dell,WR,HOU,0.17,1.3,0.01,0.5,3.1,2026 copied table
2026,4144,Jonnu Smith,TE,UNS,0.29,1.1,0.02,1.2,5.0,2026 copied table
2026,13268,Elijah Sarratt,WR,BAL,0.4,TBD,0.03,2.2,5.0,2026 copied table
2026,1426,DeAndre Hopkins,WR,UNS,0.28,1.2,0.02,0.9,5.0,2026 copied table
2026,6039,Ty Johnson,RB,BUF,0.29,0.4,0.02,1.2,5.0,2026 copied table
2026,4082,Curtis Samuel,WR,UNS,0.36,1.2,0.03,1.2,5.0,2026 copied table
2026,8127,Charlie Kolar,TE,LAC,0.14,0.2,0.01,0.3,2.6,2026 copied table
2026,12483,Jack Bech,WR,LVR,0.29,0,0.02,0.5,5.0,2026 copied table
2026,13301,Antonio Williams,WR,WAS,0.52,TBD,0.04,3.5,5.0,2026 copied table
2026,13337,Emmett Johnson,RB,KC,0.18,TBD,0.01,0.8,5.0,2026 copied table
2026,12497,Tory Horton,WR,SEA,0.46,1,0.04,1.2,1.8,2026 copied table
2026,6271,Olamide Zaccheaus,WR,ATL,0.07,0,0.0,0.6,5.0,2026 copied table
2026,13349,Eli Stowers,TE,PHI,0.24,TBD,0.02,0.9,0.7,2026 copied table
2026,12499,Elic Ayomanor,WR,TEN,0.07,0,0.0,0.6,5.0,2026 copied table
2026,8125,Calvin Austin III,WR,NYG,0.27,0.8,0.02,0.7,4.0,2026 copied table
2026,12521,Elijah Arroyo,TE,SEA,0.48,1,0.04,2.1,0.7,2026 copied table
2026,5848,Marquise Brown,WR,PHI,0.19,1.9,0.01,0.6,3.7,2026 copied table
2026,11576,Braelon Allen,RB,NYJ,0.42,1,0.03,2.9,1.2,2026 copied table
2026,3200,Sterling Shepard,WR,UNS,0.26,1.4,0.02,0.4,2.8,2026 copied table
2026,13305,Mike Washington Jr.,RB,LVR,0.21,TBD,0.01,0.7,5.0,2026 copied table
2026,11589,Trey Benson,RB,ARI,0.25,1,0.02,0.3,1.4,2026 copied table
2026,12455,Brashard Smith,RB,KC,0.22,0,0.01,0.8,5.0,2026 copied table
2026,13311,Chris Bell,WR,MIA,0.36,TBD,0.03,2.2,5.0,2026 copied table
2026,12544,LeQuint Allen,RB,JAC,0.21,0,0.01,0.7,5.0,2026 copied table
2026,3634,Kalif Raymond,WR,CHI,0.07,0,0.0,0.5,5.0,2026 copied table
2026,7528,Najee Harris,RB,UNS,0.39,1.4,0.03,4.5,5.0,2026 copied table
