"Player","Pos","Team","week1Targets","week2Targets","week3Targts","week4Targets","week5Targets","week6Targets","week7Targets","week8Targets","week9Targets","week10Targets","week11Targets","week12Targets","week13Targets","week14Targets","week15Targets","week16Targets","week17Targets","week18Targets","TTL","AVG"
"Chris Evans","RB","CIN","1","-","-","-","0","0","bye","0","0","0","0","-","-","-","-","-","-","-","1","0.1"
"Jake Funk","RB","IND","1","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","1","1.0"
"Evan Hull","RB","IND","1","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","1","1.0"
"Erik Ezukanma","WR","MIA","0","1","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","1","0.5"
"Travis Homer","RB","CHI","0","-","0","0","-","-","1","0","-","-","-","0","bye","0","0","-","-","0","1","0.1"
"Jesper Horsted","TE","LV","0","-","-","-","-","-","1","-","0","-","0","-","bye","-","0","-","-","-","1","0.2"
"Rashaad Penny","RB","PHI","-","1","-","-","-","-","-","-","0","bye","-","-","-","-","-","-","-","0","1","0.3"
"Gunner Olszewski","WR","NYG","-","1","-","-","0","-","-","0","0","0","0","0","bye","0","0","0","0","0","1","0.1"
"John FitzPatrick","TE","ATL","-","0","0","0","0","-","-","0","-","0","bye","-","-","-","-","-","-","1","1","0.1"
"Zonovan Knight","RB","DET","-","-","0","-","1","-","-","-","bye","-","-","-","-","-","-","-","-","-","1","0.5"
"Mason Kinsey","WR","TEN","-","-","0","0","-","-","bye","-","-","-","-","-","-","-","0","1","0","0","1","0.2"
"Kwamie Lassiter II","WR","CIN","-","-","-","-","1","-","bye","-","-","-","-","-","-","-","-","-","-","-","1","1.0"
"Irvin Charles","WR","NYJ","-","-","-","-","0","0","bye","-","0","0","0","0","-","0","0","0","0","1","1","0.1"
"Devine Ozigbo","RB","DET","-","-","-","-","-","1","-","0","bye","-","-","-","-","-","-","-","-","-","1","0.5"
"Tucker Fisk","TE","ATL","-","-","-","-","-","-","0","-","0","-","bye","-","-","-","1","0","0","0","1","0.2"
"Dee Eskridge","WR","SEA","-","-","-","-","bye","-","-","0","0","-","1","0","-","-","-","-","-","-","1","0.3"
"Albert Okwuegbunam","TE","PHI","-","-","-","-","-","-","-","-","0","bye","0","0","1","-","-","-","-","-","1","0.3"
"Nick Vannett","TE","LAC","-","-","-","-","bye","-","-","-","0","0","0","-","-","0","0","0","0","1","1","0.1"
"Shedrick Jackson","WR","CIN","-","-","-","-","-","-","bye","-","-","0","1","-","-","-","-","-","-","-","1","0.5"
"James Robinson","RB","GB","-","-","-","-","-","bye","-","-","-","-","-","-","1","-","-","-","-","-","1","1.0"
"Jonathan Williams","RB","WAS","-","-","-","-","-","-","-","-","-","-","-","-","-","bye","1","-","-","-","1","1.0"
"Cole Fotheringham","TE","LV","-","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","1","0","-","1","0.5"
"Collin Johnson","WR","CHI","-","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","0","1","0","1","0.3"
"Nick Muse","TE","MIN","-","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","1","1","1.0"
"Matt Bushman","TE","KC","0","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","0","0.0"
"Julius Chestnut","RB","TEN","0","0","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","-","-","0","0.0"
"Tre' McKitty","TE","LAC","0","0","0","0","bye","0","-","0","-","-","-","-","-","-","-","-","-","-","0","0.0"
"Tyler Kroft","TE","MIA","0","0","-","-","-","-","-","0","-","bye","0","0","-","-","0","-","-","-","0","0.0"
"Kristian Wilkerson","WR","LV","0","0","-","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","0","0.0"
"Parker Hesse","TE","ATL","0","-","-","-","-","-","-","-","-","-","bye","0","0","-","-","-","-","-","0","0.0"
"Kearis Jackson","WR","TEN","0","0","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","-","-","0","0.0"
"Brandon Bolden","RB","LV","0","-","-","-","-","-","-","-","-","-","-","-","bye","0","0","0","0","-","0","0.0"
"Marlon Mack","RB","ARI","0","-","-","-","-","-","-","-","-","-","0","-","-","bye","-","-","-","-","0","0.0"
"Tre'Quan Smith","WR","DEN","0","-","-","-","-","-","-","0","bye","-","-","-","-","-","-","-","-","-","0","0.0"
"Cephus Johnson III","WR","TB","0","-","-","0","bye","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0.0"
"Kirk Merritt","WR","NO","-","0","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","0","0.0"
"Mitchell Tinsley","WR","WAS","-","0","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","0","0.0"
"Brayden Willis","TE","SF","-","-","0","0","-","-","-","-","bye","-","-","-","-","0","0","0","0","0","0","0.0"
"Jacob Harris","TE","JAC","-","-","0","0","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","0","0.0"
"Qadree Ollison","RB","PIT","-","-","0","-","-","bye","-","-","-","-","-","-","-","-","-","-","-","-","0","0.0"
"Chris Brooks","RB","MIA","-","-","0","-","0","0","-","-","-","bye","-","-","-","-","-","-","0","-","0","0.0"
"Justin Hardee","WR","NYJ","-","-","0","-","0","-","bye","-","-","-","-","-","0","0","0","0","-","0","0","0.0"
"Brady Russell","TE","SEA","-","-","0","-","bye","-","0","0","-","0","0","-","0","0","0","0","-","0","0","0.0"
"Montrell Washington","WR","KC","-","-","0","0","0","0","-","-","-","bye","-","0","-","-","-","-","-","-","0","0.0"
"Devon Allen","WR","PHI","-","-","0","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","0","0.0"
"Dalton Keene","TE","HOU","-","-","0","-","-","-","bye","-","-","0","-","-","-","-","-","-","-","-","0","0.0"
"Andy Isabella","WR","BUF","-","-","0","-","-","-","-","-","-","-","-","0","bye","-","-","-","-","-","0","0.0"
"Darrell Daniels","TE","DET","-","-","-","0","0","0","-","-","bye","-","-","-","-","-","-","-","-","-","0","0.0"
"Derrick Gore","RB","WAS","-","-","-","0","0","-","-","-","-","-","0","-","-","bye","-","0","-","0","0","0.0"
"Matthew Slater","WR","NE","-","-","-","0","0","-","0","-","-","-","bye","-","-","0","-","-","0","0","0","0.0"
"James Winchester","TE","KC","-","-","-","0","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","0","0.0"
"Bryant Koback","RB","PHI","-","-","-","0","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","0","0.0"
"Isaiah Winstead","WR","SF","-","-","-","0","-","-","0","0","bye","-","-","-","-","-","-","-","-","-","0","0.0"
"Tyrion Davis-Price","RB","SF","-","-","-","-","0","-","-","-","bye","-","-","-","-","-","-","-","-","-","0","0.0"
"Dylan Drummond","WR","DET","-","-","-","-","0","-","-","-","bye","-","-","-","-","-","-","-","-","-","0","0.0"
"N'Keal Harry","WR","MIN","-","-","-","-","0","0","0","0","0","0","0","0","bye","-","-","-","-","-","0","0.0"
"Corey Clement","RB","ARI","-","-","-","-","0","-","-","-","-","-","0","-","-","bye","-","-","-","-","0","0.0"
"Jaelon Darden","WR","CLE","-","-","-","-","bye","0","-","-","-","-","-","-","-","-","-","-","-","-","0","0.0"
"Zach Evans","RB","LAR","-","-","-","-","-","0","-","-","-","bye","0","0","-","-","-","-","-","0","0","0.0"
"Malik Davis","RB","DAL","-","-","-","-","-","0","bye","-","-","-","-","-","-","-","0","-","-","-","0","0.0"
"J.P. Holtz","TE","NO","-","-","-","-","-","0","-","-","-","-","bye","-","-","-","-","-","-","-","0","0.0"
"Tanner Conner","TE","MIA","-","-","-","-","-","0","0","-","-","bye","-","-","0","-","-","-","-","-","0","0.0"
"Patrick Laird","RB","TB","-","-","-","-","bye","0","-","-","-","-","-","-","-","-","-","0","-","-","0","0.0"
"Mohamed Ibrahim","RB","DET","-","-","-","-","-","-","0","-","bye","-","-","-","-","-","-","-","-","-","0","0.0"
"Godwin Igwebuike","RB","PIT","-","-","-","-","-","bye","0","0","0","-","-","-","0","0","0","-","0","-","0","0.0"
"Dwayne Washington","RB","DEN","-","-","-","-","-","-","0","0","bye","0","-","-","0","-","-","-","-","-","0","0.0"
"Kene Nwangwu","RB","MIN","-","-","-","-","-","-","0","-","-","0","-","0","bye","0","0","0","0","0","0","0.0"
"SaRodorick Thompson Jr.","RB","SEA","-","-","-","-","bye","-","0","0","-","-","-","-","-","-","-","-","-","-","0","0.0"
"Easop Winston Jr.","WR","SEA","-","-","-","-","bye","-","0","-","-","-","-","-","-","-","-","-","-","-","0","0.0"
"Matt Sokol","TE","NE","-","-","-","-","-","-","0","-","-","-","bye","-","-","-","-","0","0","0","0","0.0"
"Andre Baccellia","WR","ARI","-","-","-","-","-","-","-","0","-","-","0","0","0","bye","-","-","-","-","0","0.0"
"DJ Turner","WR","LV","-","-","-","-","-","-","-","0","0","-","0","-","bye","0","0","0","-","0","0","0.0"
"Jonathan Ward","RB","TEN","-","-","-","-","-","-","bye","0","-","-","-","-","-","0","-","0","0","0","0","0.0"
"Zack Kuntz","TE","NYJ","-","-","-","-","-","-","bye","0","-","-","-","-","-","-","-","-","-","0","0","0.0"
"Jalen Virgil","WR","DEN","-","-","-","-","-","-","-","0","bye","-","-","-","-","-","-","-","-","-","0","0.0"
"Stanley Morgan Jr.","WR","CIN","-","-","-","-","-","-","bye","-","0","0","-","-","-","-","-","-","-","-","0","0.0"
"Leroy Watson IV","TE","CLE","-","-","-","-","bye","-","-","-","-","0","-","-","-","0","0","-","-","0","0","0.0"
"Dareke Young","WR","SEA","-","-","-","-","bye","-","-","-","-","0","-","-","-","0","0","0","-","0","0","0.0"
"Tyree Jackson","TE","NYG","-","-","-","-","-","-","-","-","-","0","0","-","bye","-","-","-","-","-","0","0.0"
"Jordan Thomas","TE","CAR","-","-","-","-","-","-","bye","-","-","0","-","-","-","-","-","-","-","-","0","0.0"
"David Sills","WR","DEN","-","-","-","-","-","-","-","-","bye","0","0","0","-","-","-","-","-","-","0","0.0"
"Terrell Bynum","WR","LAC","-","-","-","-","bye","-","-","-","-","-","0","-","-","-","-","-","-","-","0","0.0"
"Austin Walter","RB","LV","-","-","-","-","-","-","-","-","-","-","0","-","bye","-","-","-","-","-","0","0.0"
"Dax Milne","WR","WAS","-","-","-","-","-","-","-","-","-","-","0","-","-","bye","-","-","-","-","0","0.0"
"Henry Pearson","RB","GB","-","-","-","-","-","bye","-","-","-","-","-","0","0","-","-","-","-","-","0","0.0"
"Hunter Long","TE","LAR","-","-","-","-","-","-","-","-","-","bye","-","0","0","0","-","-","-","-","0","0.0"
"Noah Togiai","TE","PHI","-","-","-","-","-","-","-","-","-","bye","-","0","-","-","-","-","-","-","0","0.0"
"Hunter Kampmoyer","TE","LAC","-","-","-","-","bye","-","-","-","-","-","-","0","-","-","-","-","-","-","0","0.0"
"Chris Blair","WR","ATL","-","-","-","-","-","-","-","-","-","-","bye","0","-","-","-","-","-","-","0","0.0"
"Stephen Anderson","TE","LAC","-","-","-","-","bye","-","-","-","-","-","-","-","0","0","0","-","-","-","0","0.0"
"Marquez Callaway","WR","NO","-","-","-","-","-","-","-","-","-","-","bye","-","0","0","0","-","-","-","0","0.0"
"Ryan Miller","WR","TB","-","-","-","-","bye","-","-","-","-","-","-","-","0","-","-","-","-","-","0","0.0"
"Josh Pederson","TE","JAC","-","-","-","-","-","-","-","-","bye","-","-","-","-","0","0","-","-","-","0","0.0"
"Leonard Fournette","RB","BUF","-","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","0","-","0","0","0.0"
"Dan Chisena","WR","ARI","-","-","-","-","-","-","-","-","-","-","-","-","-","bye","-","0","-","-","0","0.0"
"Jeremy McNichols","RB","SF","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","0","-","0","0","0.0"
"Ethan Fernea","WR","IND","-","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","0","-","-","0","0.0"
"Lucky Jackson","WR","MIN","-","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","0","0","0","0","0.0"
"Anthony Firkser","TE","DET","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","0","-","-","0","0.0"
"Blake Whiteheart","TE","ARI","-","-","-","-","-","-","-","-","-","-","-","-","-","bye","-","0","-","-","0","0.0"
"Chase Cota","WR","HOU","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","0","-","-","0","0.0"
"Michael Bandy","WR","DEN","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","0","-","0","0.0"
"Travis Vokolek","TE","ARI","-","-","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","0","0","0","0.0"
"Tay Martin","WR","SF","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","0","-","0","0.0"
"Brittain Brown","RB","LV","-","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","-","0","-","0","0.0"
"Ben Mason","RB","BAL","-","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","0","0","0.0"
"Johnny Johnson III","WR","HOU","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","-","0","0","0.0"
"Zach Gentry","TE","LV","-","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","0","0","0.0"
"Chris Pierce Jr.","TE","CAR","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","-","0","0","0.0"
""
""
