"Player","Pos","Team","week1Targets","week2Targets","week3Targts","week4Targets","week5Targets","week6Targets","week7Targets","week8Targets","week9Targets","week10Targets","week11Targets","week12Targets","week13Targets","week14Targets","week15Targets","week16Targets","week17Targets","week18Targets","TTL","AVG"
"Ezekiel Elliott","RB","NE","7","0","1","3","4","1","1","0","5","2","bye","2","5","8","6","11","2","7","65","3.8"
"Josh Reynolds","WR","DET","7","6","0","6","5","3","3","1","bye","4","2","4","3","4","3","4","2","7","64","3.8"
"Odell Beckham Jr.","WR","BAL","3","4","-","-","4","4","7","4","7","2","7","5","bye","10","3","3","1","-","64","4.6"
"Joe Mixon","RB","CIN","5","5","2","1","4","4","bye","3","6","3","5","2","7","4","3","4","4","2","64","3.8"
"Michael Thomas","WR","NO","8","9","9","6","7","8","7","7","1","2","bye","-","-","-","-","-","-","-","64","6.4"
"Zay Jones","WR","JAC","7","6","-","-","5","-","-","-","bye","-","4","3","8","14","8","-","-","9","64","7.1"
"Jerome Ford","RB","CLE","0","4","3","6","bye","2","4","2","7","1","5","7","3","6","5","2","3","3","63","3.7"
"Rondale Moore","WR","ARI","3","1","6","2","5","7","4","3","2","8","1","3","2","bye","3","3","4","5","62","3.6"
"Joshua Palmer","WR","LAC","1","5","7","8","bye","7","7","4","-","-","0","-","-","-","4","8","-","10","61","5.5"
"Hunter Henry","TE","NE","6","7","5","5","2","3","3","3","6","5","bye","0","4","3","9","-","-","-","61","4.4"
"Darnell Mooney","WR","CHI","7","0","1","4","4","3","5","4","6","4","1","3","bye","7","8","4","-","-","61","4.1"
"Mark Andrews","TE","BAL","-","8","5","5","10","6","6","5","10","4","2","-","bye","-","-","-","-","-","61","6.1"
"Saquon Barkley","RB","NYG","4","7","-","-","-","5","4","5","4","3","5","3","bye","4","2","6","6","2","60","4.3"
"Antonio Gibson","RB","WAS","1","3","5","1","6","1","2","5","5","6","-","4","5","bye","5","2","4","4","59","3.7"
"Juwan Johnson","TE","NO","5","3","4","-","-","-","-","2","5","3","bye","7","3","3","2","7","12","3","59","4.5"
"Michael Wilson","WR","ARI","4","3","2","7","2","4","5","6","-","6","-","-","-","bye","3","4","6","6","58","4.5"
"Dontayvion Wicks","WR","GB","2","4","6","1","1","bye","1","4","4","4","5","-","4","6","7","2","-","7","58","3.9"
"Javonte Williams","RB","DEN","6","3","3","3","-","0","4","3","bye","4","2","6","3","4","2","3","3","9","58","3.6"
"Michael Gallup","WR","DAL","2","2","7","6","5","10","bye","3","3","2","5","1","1","5","1","2","0","2","57","3.4"
"Rashod Bateman","WR","BAL","3","3","3","-","3","3","3","2","5","4","2","5","bye","4","6","4","6","0","56","3.5"
"Samaje Perine","RB","DEN","4","4","3","2","5","2","3","3","bye","3","7","1","2","5","1","5","2","4","56","3.3"
"Noah Brown","WR","HOU","4","-","-","-","-","5","bye","5","6","8","-","-","2","5","11","7","2","-","55","5.5"
"Kendrick Bourne","WR","NE","11","9","5","3","5","11","7","4","-","-","bye","-","-","-","-","-","-","-","55","6.9"
"DeVante Parker","WR","NE","-","8","3","4","4","3","1","2","-","-","bye","5","9","-","5","5","2","4","55","4.2"
"Josh Jacobs","RB","LV","3","6","5","11","5","5","4","4","0","2","1","6","bye","2","-","-","-","-","54","4.2"
"James Cook","RB","BUF","6","4","3","1","4","0","3","1","4","2","4","7","bye","5","3","0","3","4","54","3.2"
"Justin Watson","WR","KC","4","5","3","1","3","1","-","3","5","bye","11","3","0","1","3","6","3","1","53","3.3"
"Christian Watson","WR","GB","-","-","-","4","7","bye","5","8","2","7","4","7","9","-","-","-","-","-","53","5.9"
"Rhamondre Stevenson","RB","NE","6","3","4","3","2","6","6","4","6","5","bye","5","1","-","-","-","-","-","51","4.3"
"Kylen Granson","TE","IND","6","4","4","5","3","4","-","-","2","2","bye","1","3","4","1","7","3","1","50","3.3"
"Tanner Hudson","TE","CIN","-","-","4","2","-","-","bye","-","5","7","4","5","4","3","5","2","7","2","50","4.2"
"Isiah Pacheco","RB","KC","4","2","3","3","1","6","4","4","1","bye","1","5","4","-","-","4","7","-","49","3.5"
"Allen Robinson II","WR","PIT","8","3","4","2","9","bye","1","1","2","0","4","1","3","3","3","4","0","1","49","2.9"
"D'Andre Swift","RB","PHI","2","3","2","4","6","10","3","3","2","bye","3","1","6","0","3","0","1","-","49","3.1"
"Allen Lazard","WR","NYJ","4","4","5","3","4","3","bye","6","6","5","1","-","1","0","6","1","-","-","49","3.5"
"Kyren Williams","RB","LAR","2","10","7","3","2","0","-","-","-","bye","-","6","5","4","7","0","2","-","48","4.0"
"Pat Freiermuth","TE","PIT","4","1","4","4","-","bye","-","-","-","-","1","11","5","7","4","0","4","2","47","3.9"
"JuJu Smith-Schuster","WR","NE","7","6","3","5","4","-","-","1","7","1","bye","4","3","6","-","-","-","-","47","4.3"
"Luke Musgrave","TE","GB","4","3","8","1","7","bye","5","3","4","4","6","-","-","-","-","-","-","1","46","4.2"
"Nelson Agholor","WR","BAL","0","6","4","2","5","3","1","1","1","2","1","2","bye","5","1","4","2","5","45","2.6"
"Khalil Shakir","WR","BUF","0","1","1","1","1","1","4","6","4","2","4","5","bye","1","1","3","4","6","45","2.6"
"Nick Westbrook-Ikhine","WR","TEN","7","3","0","6","3","4","bye","2","1","4","1","5","3","4","2","-","-","-","45","3.2"
"Mike Gesicki","TE","NE","3","6","1","3","4","3","2","3","2","3","bye","2","0","0","2","2","6","3","45","2.6"
"Cedric Tillman","WR","CLE","0","0","0","3","bye","-","-","-","1","3","2","5","6","4","8","2","4","6","44","3.1"
