"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Skylar Thompson","MIA","41.1","23.1","199.9","1.4","7.2","27.6","40.9","0.0","1.6","7.3"
"Hendon Hooker","DET","47.2","27.5","248.5","0.0","4.8","18.1","36.1","0.2","1.4","7.2"
"Matt Barkley","JAC","69.9","39.5","172.3","0.7","3.8","26.0","18.1","0.0","0.9","5.8"
"Brandon Allen","SF","0.0","0.0","8.5","1.7","1.7","16.4","3.8","0.0","0.3","5.3"
"Brett Rypien","CHI","0.0","0.0","86.0","0.9","4.0","33.4","33.8","0.0","1.3","3.8"
"Max Duggan","LAC","0.0","0.0","42.2","0.1","0.2","0.0","0.5","0.0","0.0","2.2"
"Will Grier","LAC","0.0","0.0","6.7","0.3","2.9","29.3","37.3","0.2","0.7","1.8"
"John Wolford","TB","0.0","0.0","0.0","1.7","6.9","33.4","48.6","0.0","1.5","1.8"
"Nathan Peterman","NO","0.0","0.0","0.0","1.7","6.9","33.4","48.6","0.0","1.5","1.8"
"Feleipe Franks","ATL","0.0","0.0","0.0","1.7","6.9","33.4","48.6","0.0","1.5","1.8"
"Sam Ehlinger","IND","0.0","0.0","4.9","0.3","2.9","29.3","37.4","0.2","0.7","1.7"
"Nate Sudfeld","DET","0.0","0.0","26.3","0.1","0.1","0.0","1.7","0.0","0.0","1.5"
"Dresser Winn","LAR","0.0","0.0","23.9","0.1","0.1","0.0","0.9","0.0","0.0","1.4"
"Jake Fromm","WAS","0.0","0.0","7.8","0.9","3.5","33.4","24.3","0.0","0.8","1.2"
"Chris Oladokun","KC","0.0","0.0","11.6","0.0","2.3","22.5","22.2","0.1","0.7","-0.1"
"Shane Buechele","BUF","0.0","0.0","0.0","0.0","4.5","22.5","44.2","0.2","1.3","-1.5"
"Josh Johnson","BAL","0.0","0.0","5.0","0.4","2.2","0.0","0.0","0.0","0.7","-1.6"
"Logan Woodside","ATL","0.0","0.0","0.0","0.8","4.3","0.0","0.0","0.0","1.3","-3.7"
"Ben DiNucci","DEN","0.0","0.0","0.0","0.8","4.3","0.0","0.0","0.0","1.3","-3.7"
""
""
