"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Salvon Ahmed","MIA","38.7","117.9","0.7","6.6","54.3","0.3","0.0","29.4"
"Alec Ingold","MIA","7.2","19.3","0.1","13.0","103.7","0.3","0.0","27.9"
"Ronnie Rivers","LAR","44.8","163.3","0.1","4.6","57.1","0.1","0.3","27.2"
"Ke'Shawn Vaughn","NE","47.2","138.9","0.8","5.1","31.2","0.1","0.4","26.8"
"Dare Ogunbowale","HOU","32.2","95.9","0.6","7.2","55.0","0.1","0.1","26.5"
"Emanuel Wilson","GB","38.7","126.6","0.3","5.9","42.5","0.1","0.1","25.0"
"Israel Abanikanda","NYJ","45.7","142.2","0.3","4.5","48.3","0.0","0.4","24.7"
"Owen Wright","BAL","0.0","104.0","0.7","5.1","29.7","0.2","0.1","23.7"
"Ty Johnson","BUF","20.5","94.9","0.1","5.7","60.3","0.4","0.2","23.7"
"Julius Chestnut","TEN","27.0","79.9","0.4","6.5","49.7","0.2","0.1","22.8"
"Gary Brightwell","NYG","28.1","105.0","0.6","4.8","35.2","0.1","0.1","22.8"
"Boston Scott","PHI","29.0","114.5","0.7","3.1","36.5","0.1","0.4","22.1"
"Hunter Luepke","DAL","18.0","47.5","1.0","6.5","44.0","0.0","0.0","21.7"
"Trey Sermon","IND","43.3","154.1","0.0","3.0","32.2","0.0","0.1","21.4"
"Brandon Bolden","LV","19.2","69.3","0.6","4.7","44.2","0.3","0.1","21.2"
"Travis Homer","CHI","18.0","90.9","0.2","4.9","46.8","0.1","0.1","20.1"
"Reggie Gilliam","BUF","12.8","41.6","0.1","9.0","44.0","0.3","0.1","19.4"
"DeeJay Dallas","ARI","17.4","64.0","0.2","7.3","47.6","0.1","0.7","19.1"
"C.J. Ham","MIN","5.8","17.3","0.3","8.9","53.3","0.1","0.0","18.4"
"Tyler Goodson","IND","0.0","87.0","0.0","6.0","34.0","0.0","0.0","18.1"
"Andrew Beck","HOU","0.0","0.0","0.0","7.8","64.3","0.4","0.0","16.6"
"Mike Boone","CAR","24.0","59.6","0.0","7.0","34.4","0.0","0.0","16.4"
"Snoop Conner","DAL","16.9","96.7","0.5","2.2","8.6","0.1","0.1","15.9"
"Kenny McIntosh","SEA","33.5","85.5","0.3","2.2","28.5","0.0","0.1","15.6"
