"player_gsis_id","season","season_type","week","player_display_name","player_position","team_abbr","avg_cushion","avg_separation","avg_intended_air_yards","percent_share_of_intended_air_yards","receptions","targets","catch_percentage","yards","rec_touchdowns","avg_yac","avg_expected_yac","avg_yac_above_expectation","player_first_name","player_last_name","player_jersey_number","player_short_name"
"00-0034613",2023,"REG","0, 9, 10, 12, 15, 17","Tanner Hudson","TE","CIN",6.23553947368421,3.124440355999545,5.200342857142856,11.18997990955186,61,79,77.76190476190476,535.0,1,3.8391452991452995,3.6744900441015624,0.16465525504373693,"Tanner","Hudson",87,"T.Hudson"
"00-0034646",2023,"REG","5, 7, 10","Brandon Powell","WR","MIN",6.275166666666666,2.173970439875133,9.278444444444444,17.267430602279397,12,16,75.55555555555556,142.0,0,3.8191666666666673,3.947983510661478,-0.1288168439948105,"Brandon","Powell",4,"B.Powell"
"00-0034753",2023,"REG","0, 2, 3, 4, 5, 6, 7, 8, 9","Mark Andrews","TE","BAL",5.637714663643235,3.021118917915368,8.012157710989678,22.271210420414302,86,116,75.51153612629022,1021.0,12,4.931092592592592,4.809653422597169,0.12143916999542337,"Mark","Andrews",89,"M.Andrews"
"00-0034764",2023,"REG","0, 3, 4, 5, 6, 11, 14, 19","Michael Gallup","WR","DAL",6.531193295739349,2.634023813307095,10.323334586466165,22.40368194875836,62,101,64.83709273182957,791.0,3,3.8169068627450993,3.5804627396355704,0.23644412310952934,"Michael","Gallup",13,"M.Gallup"
"00-0034775",2023,"REG","0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12","Christian Kirk","WR","JAX",6.10267803030303,3.0154320810017463,10.397207196101581,31.431372100388902,112,166,67.78653610204412,1539.0,6,4.617465564738292,4.210684414520605,0.40678115021768674,"Christian","Kirk",13,"C.Kirk"
"00-0034777",2023,"REG","0, 3, 5, 6, 16, 17","D.J. Chark","WR","CAR",5.7638628472222235,2.2262165073162374,15.866616161616163,36.31408391237748,52,103,46.843434343434346,795.0,9,2.398019841269841,2.0057959246079298,0.3922239166619114,"Darrell","Chark",17,"D.Chark"
"00-0034798",2023,"REG","1, 16","Durham Smythe","TE","MIA",5.0,3.5594161834164844,7.339714285714286,10.237292453778306,8,12,71.42857142857143,100.0,0,6.405999999999999,5.627311028522323,0.7786889714776759,"Durham","Smythe",81,"D.Smythe"
"00-0034827",2023,"REG","0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18","D.J. Moore","WR","CHI",6.3110697945845,2.7107723998679454,11.931730264353103,44.134206677912076,190,270,68.65253642935305,2703.0,16,5.453768212588066,4.227888222523114,1.2258799900649517,"Denniston","Moore",2,"D.Moore"
"00-0034829",2023,"REG","0, 2, 17","Mike Gesicki","TE","NE",6.305603174603175,3.1116532840462168,8.57025925925926,14.961624871456934,38,57,71.48148148148148,312.0,2,2.920505747126437,3.3528818424251363,-0.4323760952986997,"Michael","Gesicki",88,"M.Gesicki"
"00-0034830",2023,"REG","1","Hayden Hurst","TE","CAR",8.061666666666666,2.740313881824359,8.114285714285714,29.11775260163018,5,7,71.42857142857143,41.0,1,2.6519999999999997,3.72616554113671,-1.0741655411367104,"Hayden","Hurst",81,"H.Hurst"
"00-0034837",2023,"REG","0, 1, 2, 3, 5, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18","Calvin Ridley","WR","JAX",5.546117015083682,2.3131287633510738,13.784071286230109,41.328059809208874,147,263,56.94536291595115,1969.0,15,2.6353936090225565,3.166526594232887,-0.5311329852103313,"Calvin","Ridley",0,"C.Ridley"
"00-0034854",2023,"REG","9","KhaDarel Hodge","WR","ATL",6.113333333333333,3.46327714405697,21.19166666666667,39.52563026516212,3,6,50.0,60.0,0,6.413333333333334,3.1240815606590027,3.2892517726743313,"KhaDarel Lott","Hodge",12,"K.Hodge"
"00-0034960",2023,"REG","0, 1, 3, 5, 6, 7, 9, 11, 12, 14, 16, 17, 18","Jakobi Meyers","WR","LV",7.213940553036707,2.7783099104588134,9.761899644864085,31.75512235000531,135,201,67.66436997931918,1509.0,15,4.210385673012434,4.293900657829027,-0.08351498481659357,"Jakobi","Meyers",16,"J.Meyers"
"00-0034970",2023,"REG","1","Irv Smith","TE","CIN",7.536666666666666,3.9702170701312824,1.3319999999999983,2.9299194932031125,3,5,60.0,17.0,0,2.1200000000000023,1.1421207936508229,0.9778792063491796,"Irvin","Smith",81,"I.Smith"
"00-0034981",2023,"REG","15","Foster Moreau","TE","NO",5.29,3.3445178781252,2.1620000000000017,5.419904738029586,3,5,60.0,13.0,0,2.8233333333333306,4.208371704211572,-1.3850383708782417,"Foster","Moreau",87,"F.Moreau"
"00-0034983",2023,"REG","11, 14","Hunter Renfrow","WR","LV",7.2775,3.554873720892952,2.4430000000000005,6.304216263798452,8,10,80.0,88.0,0,9.738333333333332,5.439280268221144,4.299053065112188,"Hunter","Renfrow",13,"H.Renfrow"
"00-0035120",2023,"REG","17, 18","Keelan Doss","WR","LAC",6.3694999999999995,2.155910467544135,8.822375000000001,19.306339234836912,6,13,41.25,33.0,0,2.702000000000001,5.08235439221329,-2.380354392213289,"Keelan","Doss",86,"K.Doss"
"00-0035140",2023,"REG","18","Mecole Hardman","WR","KC",7.507499999999999,3.7376804665213696,6.629999999999999,49.82578397212544,6,11,54.54545454545454,77.0,0,8.403333333333334,4.131858876049932,4.271474457283402,"Mecole","Hardman",12,"M.Hardman"
"00-0035216",2023,"REG","0, 1, 7, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19","Diontae Johnson","WR","PIT",6.9822150688677835,2.9342674820931576,12.416305345038104,41.279006532944514,101,173,59.11856342890825,1375.0,11,4.776666181857359,3.803486814392296,0.9731793674650628,"Diontae","Johnson",18,"D.Johnson"
"00-0035229",2023,"REG","0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15","T.J. Hockenson","TE","MIN",6.0343267700284,2.958285672196656,7.431725799088426,26.381937765341508,184,247,74.29355624378123,1838.0,10,3.5040888829215895,3.460733149575302,0.043355733346286805,"Thomas","Hockenson",87,"T.Hockenson"
"00-0035329",2023,"REG","8, 11, 18","Donald Parham","TE","LAC",6.4495555555555555,3.404743900676135,7.022555555555556,13.825309645930373,13,17,76.66666666666667,183.0,1,6.611,4.8021510573514945,1.8088489426485053,"Donald","Parham",89,"D.Parham"
"00-0035341",2023,"REG","5, 11","Trenton Irwin","WR","CIN",6.9065,2.929090452738248,8.661,24.327401100580467,11,15,70.0,96.0,0,3.1308333333333334,3.4979963238137306,-0.36716299048039747,"Trenton","Irwin",16,"T.Irwin"
"00-0035414",2023,"REG","10, 12","Jalen Guyton","WR","LAC",6.219166666666668,2.517588513645136,12.737499999999999,23.523235635230275,5,11,43.33333333333333,45.0,1,3.0474999999999994,3.2149205754216723,-0.1674205754216731,"Jalen","Guyton",15,"J.Guyton"
"00-0035500",2023,"REG","11, 12, 16, 17","Greg Dortch","WR","ARI",6.767256944444445,3.3743888958510864,8.49822123015873,26.119448325965372,18,29,62.08333333333333,230.0,2,8.55077380952381,5.650886780819422,2.899887028704387,"Greg","Dortch",83,"G.Dortch"
"00-0035535",2023,"REG","0, 1, 2, 3, 6, 9, 11, 15, 17, 18","Darius Slayton","WR","NYG",6.136054761904762,2.870533996287307,13.263413502109705,33.34985315834028,84,135,61.51959011452682,1320.0,7,5.99267,4.334718434542785,1.6579515654572152,"Darius","Slayton",86,"D.Slayton"
"00-0035639",2023,"REG","2, 3, 4","Parris Campbell","WR","NYG",5.726944444444444,3.9989197738422226,3.6977777777777767,13.138423020651496,13,17,75.55555555555556,60.0,0,2.7466666666666675,3.8048016423962694,-1.0581349757296021,"Parris","Campbell",0,"P.Campbell"
"00-0035640",2023,"REG","0, 1, 2, 3, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18","DK Metcalf","WR","SEA",5.845640320572674,2.4348527319215103,13.686917709305943,41.03529369140638,128,230,57.467320261437905,2144.0,15,5.6423995670995675,3.5065782276335624,2.135821339466005,"DeKaylin","Metcalf",14,"D.Metcalf"
"00-0035644",2023,"REG","3, 15, 17","Noah Fant","TE","SEA",6.408888888888889,4.084504505996132,6.477333333333334,13.591074597651117,12,16,74.44444444444444,116.0,0,2.9405555555555556,3.0423656069344216,-0.101810051378866,"Noah","Fant",87,"N.Fant"
"00-0035659",2023,"REG","0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18","Terry McLaurin","WR","WAS",5.8479079997812775,2.7356815336938682,10.921958310786435,35.825727619077206,156,257,64.28097943722943,1973.0,8,4.7196554588607595,4.094865496529438,0.6247899623313214,"Terry","McLaurin",17,"T.McLaurin"
"00-0035662",2023,"REG","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12","Marquise Brown","WR","ARI",6.20034654796262,2.510742280172951,11.68258926160473,42.02365915785439,101,195,53.15092223508065,1120.0,8,2.9947130018674137,3.389038055024043,-0.3943250531566285,"Marquise","Brown",2,"M.Brown"
"00-0035676",2023,"REG","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17","A.J. Brown","WR","PHI",6.725554906898656,2.5194047451572366,12.135434326068623,44.69161312574307,210,311,69.08526380440938,2895.0,14,4.431080609838275,2.7731659517333442,1.6579146581049302,"Arthur","Brown",11,"A.Brown"
"00-0035689",2023,"REG","2, 5, 6","Dawson Knox","TE","BUF",4.318333333333333,3.8694521325953963,5.977333333333333,11.98472558714385,9,17,53.333333333333336,44.0,1,3.0866666666666664,3.6152821934473045,-0.5286155267806375,"Dawson","Knox",88,"D.Knox"
"00-0035719",2023,"REG","0, 1, 2, 3, 12, 14, 15, 16, 17, 21, 23","Deebo Samuel","WR","SF",6.398442866808895,3.4178704383552487,7.3982040970038945,25.97346958759403,115,180,63.73069672354657,1621.0,12,7.380268398268398,4.639169554893827,2.741098843374571,"Tyshun","Samuel",19,"D.Samuel"
"00-0036040",2023,"REG","0, 1, 9, 12, 16, 17","Juwan Johnson","TE","NO",4.886011111111111,2.821230452989708,7.936950497713209,22.10810717087631,61,95,67.27737422652676,616.0,7,4.275350600600601,4.03343611709214,0.241914483508461,"Juwan","Johnson",83,"J.Johnson"
"00-0036165",2023,"REG","2","Isaiah Hodgins","WR","NYG",4.504,1.6556121107855684,8.343999999999998,12.213114754098362,4,5,80.0,40.0,1,3.2900000000000027,3.064902096894002,0.2250979031060005,"Isaiah","Hodgins",18,"I.Hodgins"
"00-0036182",2023,"REG","0, 1, 4, 12","Nick Westbrook-Ikhine","WR","TEN",7.4407499999999995,3.224518454977342,8.751337301587302,15.571978661229824,41,63,70.67460317460318,520.0,4,5.442214285714286,5.306568435456446,0.1356458502578387,"Nicholas","Westbrook-Ikhine",15,"N.Westbrook-Ikhine"
"00-0036196",2023,"REG","0, 2, 5, 7, 8, 10, 12, 16","Gabe Davis","WR","BUF",6.6459502900843885,2.8302752767611206,14.291131117724868,36.171010975551916,79,137,57.65873015873016,1322.0,12,4.850069444444444,3.0259748233156643,1.8240946211287796,"Gabriel","Davis",13,"G.Davis"
"00-0036232",2023,"REG","13, 19","Harrison Bryant","TE","CLE",5.536666666666667,2.81680022960019,7.172833333333331,11.305673155819505,9,11,83.33333333333333,114.0,1,6.390500000000001,6.471310840564856,-0.08081084056485377,"Harrison","Bryant",88,"H.Bryant"
"00-0036244",2023,"REG","6","Colby Parkinson","TE","SEA",7.949999999999999,2.5607654960772015,6.555999999999999,9.258579296709502,3,5,60.0,19.0,0,3.0966666666666662,2.522456162060734,0.5742105046059316,"Colby","Parkinson",84,"C.Parkinson"
"00-0036252",2023,"REG","0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18","Michael Pittman","WR","IND",6.855253718599739,3.0019259768383737,8.369585892049129,33.16646683056533,218,312,68.71562261268143,2304.0,8,5.989834555757248,4.528539870701579,1.4612946850556696,"Michael","Pittman",11,"M.Pittman"
"00-0036259",2023,"REG","7, 20, 23","Jauan Jennings","WR","SF",5.89552380952381,3.7074756948013676,7.186629629629631,19.759701932608593,14,20,72.96296296296298,157.0,1,4.571,3.0020204925654146,1.568979507434585,"Bennie","Jennings",15,"J.Jennings"
"00-0036261",2023,"REG","0, 1, 2, 4, 5, 6, 7, 8, 11, 13, 14, 15, 16, 17, 20, 21, 23","Brandon Aiyuk","WR","SF",5.631553613354727,2.8258376956982296,13.938622782446313,41.98852681305197,151,219,67.62371615312793,2703.0,13,5.147280112044818,3.4014420218390615,1.7458380902057562,"Brandon","Aiyuk",11,"B.Aiyuk"
"00-0036271",2023,"REG","18","Quez Watkins","WR","PHI",7.051818181818181,2.4949398611299363,9.742727272727272,32.658845040377884,8,11,72.72727272727273,93.0,1,2.7112500000000006,3.1647176517499176,-0.453467651749917,"Terrance","Watkins",16,"Q.Watkins"
"00-0036290",2023,"REG","0, 1, 2, 4, 5, 8, 9, 10, 12, 14, 15, 16","Cole Kmet","TE","CHI",6.615198412698413,4.081703722435159,6.72360085978836,19.10431911931981,136,167,81.51455026455027,1346.0,12,4.482901799304196,4.517447777939502,-0.03454597863530582,"Cole","Kmet",85,"C.Kmet"
"00-0036309",2023,"REG","0, 1, 7, 9, 14, 15","Darnell Mooney","WR","CHI",5.772845238095237,3.2011953010358307,9.235233964350767,31.677773721816596,48,94,54.144548529794434,639.0,2,6.306139784946237,3.844259472446217,2.46188031250002,"Darnell","Mooney",11,"D.Mooney"
"00-0036322",2023,"REG","0, 1, 2, 3, 4, 5, 15, 16, 17, 18","Justin Jefferson","WR","MIN",6.463413997999636,2.6869434455864343,12.48288249084249,42.349745598003764,134,197,66.38424908424909,2121.0,10,4.017555525846702,3.322045732978269,0.6955097928684333,"Justin","Jefferson",18,"J.Jefferson"
